sourceFile,drugCode,genericName,specification,unit,series,category,metadata.englishName,metadata.chineseAcronym,metadata.brandName,metadata.commonDosage,metadata.recommendedDosages,metadata.recommendedFrequency,metadata.form,metadata.route,metadata.indications,metadata.contraindications,metadata.sideEffects,metadata.drugInteractions,metadata.specialInstructions,metadata.pregnancyCategory,metadata.renalAdjustment,metadata.hepaticAdjustment,metadata.frequency1,metadata.frequency2,metadata.frequency3,metadata.frequency4
general-drug-database.ts,formoterol,福莫特罗,4.5mcg;9mcg,mcg,长效β2受体激动剂,中国上市,Formoterol,FOR,奥克斯都保,9-18mcg,,每日2次,吸入,吸入,哮喘;慢阻肺,心律失常;甲亢,震颤;心悸;头痛,β受体阻滞剂;利尿剂,必须与激素联用,C,正常剂量,正常剂量,BID,,,
general-drug-database.ts,salmeterol,沙美特罗,25mcg;50mcg,mcg,长效β2受体激动剂,中国上市,Salmeterol,SAL,施立稳,50-100mcg,,每日2次,吸入,吸入,哮喘;慢阻肺,心律失常;甲亢,震颤;心悸;头痛,β受体阻滞剂;利尿剂,必须与激素联用,C,正常剂量,正常剂量,BID,,,
general-drug-database.ts,fluticasone-salmeterol,氟替卡松沙美特罗,50/250mcg;50/500mcg,mcg,激素/长效β2受体激动剂复方,中国上市,Fluticasone/Salmeterol,FLS,舒利迭,50/250-50/500mcg,,每日2次,吸入,吸入,哮喘;慢阻肺,真菌感染;心律失常,口咽念珠菌病;震颤;心悸,酮康唑;β受体阻滞剂,吸入后漱口,C,正常剂量,肝功能损害时谨慎,BID,,,
general-drug-database.ts,ranitidine,雷尼替丁,75mg;150mg;300mg,mg,H2受体拮抗剂,中国上市,Ranitidine,RAN,善胃得,150-300mg,,每日2次,口服,口服,消化性溃疡;胃食管反流病,严重肾功能不全,头痛;便秘;腹泻,华法林;酮康唑,可与或不与食物同服,B,肾功能不全时减量,正常剂量,BID,,,
general-drug-database.ts,famotidine,法莫替丁,20mg;40mg,mg,H2受体拮抗剂,中国上市,Famotidine,FAM,高舒达,20-40mg,,每日2次,口服,口服,消化性溃疡;胃食管反流病,严重肾功能不全,头痛;便秘;腹泻,华法林;酮康唑,可与或不与食物同服,B,肾功能不全时减量,正常剂量,BID,,,
general-drug-database.ts,cimetidine,西咪替丁,200mg;400mg;800mg,mg,H2受体拮抗剂,中国上市,Cimetidine,CIM,泰胃美,400-800mg,,每日2次,口服,口服,消化性溃疡;胃食管反流病,严重肾功能不全,头痛;腹泻;男性乳房发育,华法林;茶碱;苯妥英,餐时或睡前服用,B,肾功能不全时减量,正常剂量,BID,,,
general-drug-database.ts,mosapride,莫沙必利,5mg,mg,5-HT4受体激动剂,中国上市,Mosapride,MOS,加斯清,5mg,,每日3次,口服,口服,功能性消化不良;胃食管反流病,胃肠道出血;机械性梗阻,腹泻;腹痛;口干,抗胆碱药物,餐前服用,B,正常剂量,肝功能损害时谨慎,TID,,,
general-drug-database.ts,domperidone,多潘立酮,10mg,mg,多巴胺受体拮抗剂,中国上市,Domperidone,DOM,吗丁啉,10mg,,每日3次,口服,口服,功能性消化不良;恶心呕吐,胃肠道出血;机械性梗阻;泌乳素瘤,泌乳;月经紊乱;QT延长,酮康唑;红霉素,餐前15-30分钟服用,C,正常剂量,肝功能损害时谨慎,TID,,,
general-drug-database.ts,amoxicillin-clavulanate,阿莫西林克拉维酸钾,375mg;625mg;1000mg,mg,β-内酰胺酶抑制剂复合制剂,中国上市,Amoxicillin/Clavulanate,AMC,安灭菌,375-1000mg,,每日2次;每日3次,口服,口服,呼吸道感染;泌尿道感染;皮肤软组织感染,青霉素过敏;严重肝功能不全,腹泻;恶心;皮疹;肝功能异常,华法林;别嘌醇,餐时服用,B,肾功能不全时减量,肝功能损害时禁用,BID,,,
general-drug-database.ts,amoxicillin,阿莫西林,0.25g;0.5g;1g,g,青霉素类,中国上市,Amoxicillin,AMO,阿莫西林,0.5-1g,,每日3次,口服,口服,呼吸道感染;泌尿道感染;幽门螺杆菌感染,青霉素过敏,腹泻;皮疹;过敏反应,华法林;别嘌醇,餐时或餐后服用,B,肾功能不全时减量,正常剂量,TID,,,
general-drug-database.ts,cefixime,头孢克肟,50mg;100mg;200mg,mg,第三代头孢菌素,中国上市,Cefixime,CFX,世福素,200-400mg,,每日1次;每日2次,口服,口服,呼吸道感染;泌尿道感染;淋病,头孢菌素过敏,腹泻;恶心;皮疹,华法林;丙磺舒,可与或不与食物同服,B,肾功能不全时减量,正常剂量,QD,,,
general-drug-database.ts,cefuroxime,头孢呋辛,0.125g;0.25g;0.5g,g,第二代头孢菌素,中国上市,Cefuroxime,CFU,西力欣,0.25-0.5g,,每日2次,口服,口服,呼吸道感染;泌尿道感染,头孢菌素过敏,腹泻;恶心;皮疹,华法林;丙磺舒,餐时服用,B,肾功能不全时减量,正常剂量,BID,,,
general-drug-database.ts,ceftriaxone,头孢曲松,0.5g;1g;2g,g,第三代头孢菌素,中国上市,Ceftriaxone,CRO,罗氏芬,1-2g,,每日1次;每日2次,静脉注射,静脉注射;肌肉注射,严重感染;脑膜炎;淋病,头孢菌素过敏;新生儿高胆红素血症,腹泻;皮疹;胆汁淤积,钙剂;华法林,慢速静脉注射,B,正常剂量,正常剂量,QD,,,
general-drug-database.ts,ciprofloxacin,盐酸环丙沙星,250mg;500mg;750mg,mg,氟喹诺酮类,中国上市,Ciprofloxacin,CIP,希普洛,250-750mg,,每日2次,口服,口服,呼吸道感染;泌尿道感染;骨关节感染,18岁以下;妊娠;哺乳;喹诺酮过敏,胃肠道反应;肌腱炎;QT延长;光敏反应,华法林;茶碱;铁剂,餐后服用避免奶制品,C,肾功能不全时减量,正常剂量,BID,,,
general-drug-database.ts,levofloxacin,左氧氟沙星,250mg;500mg;750mg,mg,氟喹诺酮类,中国上市,Levofloxacin,LEV,可乐必妥,250-750mg,,每日1次;每日2次,口服,口服;静脉注射,呼吸道感染;泌尿道感染,18岁以下;妊娠;喹诺酮过敏,胃肠道反应;肌腱炎;QT延长,华法林;NSAID,可与或不与食物同服,C,肾功能不全时减量,正常剂量,QD,,,
general-drug-database.ts,moxifloxacin,莫西沙星,400mg,mg,第四代氟喹诺酮,中国上市,Moxifloxacin,MOX,拜复乐,400mg,,每日1次,口服,口服;静脉注射,呼吸道感染;皮肤软组织感染,18岁以下;妊娠;QT延长;喹诺酮过敏,胃肠道反应;QT延长;头晕,抗心律失常药;华法林,可与或不与食物同服,C,正常剂量,正常剂量,QD,,,
general-drug-database.ts,ofloxacin,氧氟沙星,100mg;200mg;400mg,mg,氟喹诺酮类,中国上市,Ofloxacin,OFL,泰利必妥,200-400mg,,每日2次,口服,口服,呼吸道感染;泌尿道感染,18岁以下;妊娠;喹诺酮过敏,胃肠道反应;肌腱炎;中枢神经系统反应,华法林;茶碱,可与或不与食物同服,C,肾功能不全时减量,正常剂量,BID,,,
general-drug-database.ts,pefloxacin,培氟沙星,200mg;400mg,mg,氟喹诺酮类,中国上市,Pefloxacin,PEF,培氟沙星,400mg,,每日2次,口服,口服,呼吸道感染;泌尿道感染,18岁以下;妊娠;喹诺酮过敏,胃肠道反应;光敏反应,华法林;茶碱,可与或不与食物同服,C,肾功能不全时减量,正常剂量,BID,,,
general-drug-database.ts,clarithromycin,克拉霉素,0.25g;0.5g,g,大环内酯类,国家基药目录,Clarithromycin,CLA,希舒美,0.25-0.5g,,每日2次,口服,口服,呼吸道感染;幽门螺杆菌感染,严重肝功能不全;与匹莫齐特合用,胃肠道反应;肝酶升高;QT延长,茶碱;地高辛;华法林,可与食物同服,C,正常剂量,肝功能损害时减量,BID,,,
general-drug-database.ts,erythromycin,红霉素,0.125g;0.25g,g,大环内酯类,国家基药目录,Erythromycin,ERY,红霉素肠溶片,0.25-0.5g,,每日4次,口服,口服,呼吸道感染;皮肤软组织感染,肝功能不全;与匹莫齐特合用,胃肠道反应;肝毒性;QT延长,茶碱;华法林;西沙必利,餐前1小时或餐后2小时服用,B,正常剂量,肝功能损害时谨慎,QID,,,
general-drug-database.ts,azithromycin,阿奇霉素,0.125g;0.25g;0.5g,g,大环内酯类,国家基药目录,Azithromycin,AZI,希舒美,0.5g,,每日1次,口服,口服,呼吸道感染;泌尿道感染;皮肤软组织感染,严重肝功能不全;对大环内酯类过敏,胃肠道反应;肝酶升高;QT延长,华法林;地高辛,可与食物同服,B,正常剂量,肝功能损害时谨慎,QD,,,
general-drug-database.ts,linezolid,利奈唑胺,0.6g,g,噁唑烷酮类,抗MRSA,Linezolid,LIN,斯沃,0.6g,,每日2次,口服,口服;静脉注射,MRSA感染;VRE感染,单胺氧化酶抑制剂;嗜铬细胞瘤,骨髓抑制;周围神经病变;乳酸性酸中毒;5-羟色胺综合征,SSRI;三环抗抑郁药;拟交感神经药,避免富含酪胺的食物,C,正常剂量,正常剂量,BID,,,
general-drug-database.ts,vancomycin,万古霉素,0.5g;1g,g,糖肽类,抗MRSA,Vancomycin,VAN,万古霉素,1-2g,,每日2次;每日4次,静脉注射,静脉注射,MRSA感染;难辨梭状芽孢杆菌感染,过敏史,肾毒性;耳毒性;红人综合征;静脉炎,氨基糖苷类;呋塞米,缓慢静脉输注>60分钟,C,肾功能不全时减量,正常剂量,BID,,,
general-drug-database.ts,teicoplanin,替考拉宁,0.2g;0.4g,g,糖肽类,抗MRSA,Teicoplanin,TEI,特加能,6mg/kg,,每日1次,静脉注射,静脉注射;肌肉注射,MRSA感染;骨髓炎,过敏史,肾毒性;过敏反应;注射部位反应,氨基糖苷类,首剂可加倍,C,肾功能不全时减量,正常剂量,QD,,,
general-drug-database.ts,tobramycin,妥布霉素,40mg;80mg,mg,氨基糖苷类,氨基糖苷类,Tobramycin,TOB,妥布霉素,3-5mg/kg,,每日1次;每日3次,静脉注射,静脉注射;肌肉注射,严重革兰阴性菌感染,妊娠;重症肌无力,肾毒性;耳毒性;神经肌肉阻滞,襻利尿剂;头孢菌素,监测血药浓度,D,肾功能不全时减量,正常剂量,QD,,,
general-drug-database.ts,gentamicin,庆大霉素,20mg;40mg;80mg,mg,氨基糖苷类,国家基药目录,Gentamicin,GEN,庆大霉素注射液,3-5mg/kg,,每日1次;每日2次,静脉注射,静脉注射;肌肉注射,严重革兰阴性菌感染,妊娠;重症肌无力,肾毒性;耳毒性;神经肌肉阻滞,襻利尿剂;头孢菌素,监测血药浓度,D,肾功能不全时减量,正常剂量,QD,,,
general-drug-database.ts,amikacin,阿米卡星,0.1g;0.2g,g,氨基糖苷类,氨基糖苷类,Amikacin,AMI,丁胺卡那霉素,15mg/kg,,每日1次;每日2次,静脉注射,静脉注射;肌肉注射,严重革兰阴性菌感染,妊娠;重症肌无力,肾毒性;耳毒性;神经肌肉阻滞,襻利尿剂;头孢菌素,监测血药浓度,D,肾功能不全时减量,正常剂量,QD,,,
general-drug-database.ts,fluconazole,氟康唑,50mg;100mg;150mg,mg,三唑类抗真菌药,国家基药目录,Fluconazole,FLU,大扶康,50-400mg,,每日1次,口服,口服;静脉注射,念珠菌感染;隐球菌脑膜炎,对唑类药物过敏;与特非那定合用,肝毒性;皮疹;头痛,华法林;苯妥英;茶碱,可与食物同服,D,肾功能不全时减量,肝功能损害时谨慎,QD,,,
general-drug-database.ts,acyclovir,阿昔洛韦,0.2g;0.4g,g,抗疱疹病毒药,国家基药目录,Acyclovir,ACV,阿昔洛韦片,0.2-0.8g,,每日5次,口服,口服,单纯疱疹;带状疱疹;水痘,对阿昔洛韦过敏,恶心;头痛;肾功能损害,丙磺舒;齐多夫定,充分饮水,B,肾功能不全时减量,正常剂量,qd-5x,,,
general-drug-database.ts,valacyclovir,伐昔洛韦,0.3g;0.5g,g,抗疱疹病毒药,阿昔洛韦前药,Valacyclovir,VAL,明竹欣,0.3-1g,,每日2次;每日3次,口服,口服,单纯疱疹;带状疱疹;水痘,对伐昔洛韦过敏,头痛;恶心;肾功能损害,丙磺舒,充分饮水,B,肾功能不全时减量,正常剂量,BID,,,
general-drug-database.ts,entecavir,恩替卡韦,0.5mg;1mg,mg,核苷类逆转录酶抑制剂,慢乙肝一线药,Entecavir,ETV,博路定,0.5-1mg,,每日1次,口服,口服,慢性乙型肝炎,对恩替卡韦过敏,头痛;疲劳;眩晕;恶心,拉米夫定,空腹服用,C,肾功能不全时减量,正常剂量,QD,,,
general-drug-database.ts,tenofovir-disoproxil,富马酸替诺福韦二吡呋酯,0.3g,g,核苷酸逆转录酶抑制剂,慢乙肝一线药,Tenofovir Disoproxil,TDF,韦瑞德,0.3g,,每日1次,口服,口服,慢性乙型肝炎;HIV感染,对替诺福韦过敏,肾毒性;骨密度降低;低磷血症,地达诺辛;阿德福韦,餐时服用监测肾功能,B,肌酐清除率<50ml/min减量,正常剂量,QD,,,
general-drug-database.ts,tenofovir-alafenamide,丙酚替诺福韦,25mg,mg,核苷酸逆转录酶抑制剂,TAF优于TDF,Tenofovir Alafenamide,TAF,韦立得,25mg,,每日1次,口服,口服,慢性乙型肝炎;HIV感染,对替诺福韦过敏;与利福平合用,头痛;腹痛;咳嗽;疲劳,CYP3A诱导剂,餐时服用,B,正常剂量,失代偿期肝硬化禁用,QD,,,
general-drug-database.ts,aspirin,阿司匹林,25mg;100mg;300mg,mg,NSAIDs,国家基药目录,Aspirin,ASA,拜阿司匹灵,75-300mg,,每日1次,口服,口服,解热镇痛;抗血小板;心血管疾病预防,活动性消化性溃疡;出血倾向;阿司匹林哮喘;妊娠末期,胃肠道反应;出血倾向;过敏反应;瑞氏综合征,华法林;甲氨蝶呤;糖皮质激素,餐后服用肠溶片不可掰开,D,正常剂量,严重肝功能不全时禁用,QD,,,
general-drug-database.ts,paracetamol,对乙酰氨基酚,0.15g;0.3g;0.5g,g,解热镇痛药,国家基药目录,Paracetamol,PCT,泰诺林,0.3-0.6g,,必要时q4-6h,口服,口服,发热;疼痛,严重肝功能不全;对该药过敏,肝毒性;皮疹;血液系统反应,华法林;异烟肼,24小时不超过4g,B,正常剂量,肝功能损害时减量或禁用,PRN,,,
general-drug-database.ts,ibuprofen,布洛芬,0.1g;0.2g;0.4g,g,NSAIDs,国家基药目录,Ibuprofen,IBU,芬必得,0.2-0.6g,,每日3次,口服,口服,发热;疼痛;炎症,活动性消化性溃疡;阿司匹林哮喘;妊娠末期,胃肠道反应;肾功能损害;心血管事件,华法林;阿司匹林;ACE抑制剂,餐后服用,C,肾功能不全时谨慎,肝功能损害时谨慎,TID,,,
general-drug-database.ts,naproxen,萘普生,0.125g;0.25g,g,NSAIDs,国家基药目录,Naproxen,NAP,萘普生片,0.25-0.5g,,每日2次,口服,口服,类风湿关节炎;骨关节炎;痛风;疼痛,活动性消化性溃疡;阿司匹林哮喘;妊娠末期;心脏手术,胃肠道反应;心血管事件;肾功能损害,华法林;阿司匹林;ACE抑制剂,餐时或餐后服用,C,肾功能不全时谨慎,肝功能损害时谨慎,BID,,,
general-drug-database.ts,diclofenac,双氯芬酸,25mg;50mg;75mg,mg,NSAIDs,国家基药目录,Diclofenac,DIC,扶他林,50-150mg,,每日2次;每日3次,口服,口服,类风湿关节炎;骨关节炎;强直性脊柱炎,活动性消化性溃疡;阿司匹林哮喘;心脏手术,胃肠道反应;肝毒性;心血管事件,华法林;阿司匹林;锂剂,餐时或餐后服用,C,肾功能不全时谨慎,肝功能损害时禁用,BID,,,
general-drug-database.ts,penicillin-g,青霉素G,80万单位/支,万单位,抗感染药/β-内酰胺类/青霉素类,经典青霉素类抗生素,Penicillin G,PCG,青霉素钠,80-240万单位,,每6-8小时一次,肌肉注射/静脉注射,肌肉注射/静脉注射,敏感细菌所致感染,青霉素过敏者禁用,过敏反应、皮疹,丙磺舒可延长半衰期,皮试阳性禁用,B,无需调整,无需调整,q6-8h,,,
general-drug-database.ts,penicillin-v,青霉素V,0.25g/片,g,抗感染药/β-内酰胺类/青霉素类,口服青霉素类,Penicillin V,PCV,青霉素V钾片,0.25-0.5g,,每6小时一次,口服,口服,轻中度敏感菌感染,青霉素过敏者禁用,胃肠道反应、皮疹,四环素类降低疗效,口服青霉素,B,无需调整,无需调整,q6h,,,
general-drug-database.ts,oxacillin,苯唑西林,0.5g/支,g,抗感染药/β-内酰胺类/耐酶青霉素,耐酶青霉素,Oxacillin,OXA,苯唑西林钠,1-2g,,每4-6小时一次,静脉注射,静脉注射,耐青霉素酶金葡菌感染,青霉素过敏者禁用,静脉炎、皮疹,利福平协同作用,抗耐药金葡菌,C,CrCl<10需减量,无需调整,q4-6h,,,
general-drug-database.ts,ampicillin,氨苄西林,0.5g/支,g,抗感染药/β-内酰胺类/广谱青霉素,广谱青霉素,Ampicillin,AMP,氨苄西林钠,1-2g,,每6小时一次,静脉注射,静脉注射/口服,敏感革兰氏阴性菌感染,青霉素过敏者禁用,皮疹、腹泻,别嘌醇增加皮疹风险,广谱青霉素,C,CrCl<30需减量,无需调整,q6h,,,
general-drug-database.ts,piperacillin,哌拉西林,2g/支,g,抗感染药/β-内酰胺类/广谱青霉素,抗假单胞菌青霉素,Piperacillin,PIP,哌拉西林钠,2-4g,,每6-8小时一次,静脉注射,静脉注射,严重革兰氏阴性菌感染,青霉素过敏者禁用,静脉炎、电解质紊乱,氨基糖苷类协同,抗假单胞菌,C,CrCl<40需减量,无需调整,q6-8h,,,
general-drug-database.ts,cephalexin,头孢氨苄,0.25g/粒,g,抗感染药/β-内酰胺类/第一代头孢,第一代口服头孢菌素,Cephalexin,CFX,头孢氨苄胶囊,0.5g,,每6小时一次,口服,口服,敏感细菌所致轻中度感染,头孢过敏者禁用,胃肠道反应、皮疹,丙磺舒增加血药浓度,第一代口服头孢,B,CrCl<40需减量,无需调整,q6h,,,
general-drug-database.ts,cefaloridine,头孢拉定,0.25g/粒,g,抗感染药/β-内酰胺类/第一代头孢,第一代头孢菌素,Cefaloridine,CFR,头孢拉定胶囊,0.5g,,每6小时一次,口服,口服,上呼吸道感染、尿路感染,头孢过敏者禁用,过敏反应、腹泻,与利尿剂合用增加肾毒性,第一代头孢,B,CrCl<50需减量,无需调整,q6h,,,
general-drug-database.ts,cefazolin,头孢唑林,1g/支,g,抗感染药/β-内酰胺类/第一代头孢,围手术期预防用药,Cefazolin,CFZ,头孢唑林钠,1-2g,,每8小时一次,静脉注射,静脉注射,革兰氏阳性菌感染、外科预防,头孢过敏者禁用,过敏反应、静脉炎,丙磺舒延长半衰期,围手术期预防首选,B,CrCl<35需减量,无需调整,q8h,,,
general-drug-database.ts,cefoxitin,头孢西丁,1g/支,g,抗感染药/β-内酰胺类/第二代头孢,第二代头孢菌素,Cefoxitin,FOX,头孢西丁钠,1-2g,,每6-8小时一次,静脉注射,静脉注射,厌氧菌及需氧菌混合感染,头孢过敏者禁用,过敏反应、假性凝血异常,丙磺舒增加血药浓度,抗厌氧菌头孢,B,CrCl<50需减量,无需调整,q6-8h,,,
general-drug-database.ts,ceftazidime,头孢他啶,1g/支,g,抗感染药/β-内酰胺类/第三代头孢,第三代头孢菌素,Ceftazidime,CAZ,头孢他啶,1-2g,,每8-12小时一次,静脉注射,静脉注射,严重革兰氏阴性菌感染,头孢过敏者禁用,过敏反应、血小板减少,氨基糖苷类协同,抗假单胞菌,B,CrCl<50需减量,无需调整,q8-12h,,,
general-drug-database.ts,cefoperazone,头孢哌酮,1g/支,g,抗感染药/β-内酰胺类/第三代头孢,第三代头孢菌素,Cefoperazone,CFP,头孢哌酮钠,2-4g,,每12小时一次,静脉注射,静脉注射,严重细菌感染,头孢过敏者禁用,腹泻、出血倾向,避免饮酒(双硫仑反应),胆道排泄,B,无需调整,肝功能不全需减量,q12h,,,
general-drug-database.ts,cefepime,头孢吡肟,1g/支,g,抗感染药/β-内酰胺类/第四代头孢,第四代头孢菌素,Cefepime,FEP,头孢吡肟,1-2g,,每12小时一次,静脉注射,静脉注射,严重革兰氏阴性菌感染,头孢过敏者禁用,神经毒性(高剂量),氨基糖苷类协同,第四代头孢,B,CrCl<60需减量,无需调整,q12h,,,
general-drug-database.ts,cefpodoxime,头孢泊肟酯,0.1g/片,g,抗感染药/β-内酰胺类/第三代头孢,口服第三代头孢,Cefpodoxime,CPD,头孢泊肟酯片,0.2g,,每12小时一次,口服,口服,呼吸道、泌尿道感染,头孢过敏者禁用,腹泻、恶心,抗酸药降低吸收,口服第三代头孢,B,CrCl<30需减量,无需调整,q12h,,,
general-drug-database.ts,cefdinir,头孢地尼,0.1g/粒,g,抗感染药/β-内酰胺类/第三代头孢,儿科用口服头孢,Cefdinir,CDR,头孢地尼胶囊,0.3g,,每12小时一次,口服,口服,呼吸道、中耳炎、皮肤软组织感染,头孢过敏者禁用,腹泻、皮疹,铁剂影响吸收,儿科常用,B,CrCl<30需减量,无需调整,q12h,,,
general-drug-database.ts,imipenem,亚胺培南,0.5g/支,g,抗感染药/β-内酰胺类/碳青霉烯类,碳青霉烯类抗生素,Imipenem,IPM,泰能(亚胺培南-西司他丁),0.5g,,每6小时一次,静脉注射,静脉注射,严重混合感染、多重耐药菌,青霉素严重过敏者慎用,癫痫发作、恶心,丙戊酸血药浓度下降,广谱高效,C,CrCl<70需减量,无需调整,q6h,,,
general-drug-database.ts,meropenem,美罗培南,0.5g/支,g,抗感染药/β-内酰胺类/碳青霉烯类,可透过血脑屏障,Meropenem,MEM,美平(美罗培南),1g,,每8小时一次,静脉注射,静脉注射,严重腹腔感染、脑膜炎、败血症,碳青霉烯过敏者禁用,腹泻、皮疹,丙戊酸血药浓度下降,可用于脑膜炎,C,CrCl<50需减量,无需调整,q8h,,,
general-drug-database.ts,ciprofloxacin,环丙沙星,0.25g/片,g,抗感染药/氟喹诺酮类,氟喹诺酮类,Ciprofloxacin,CIP,环丙沙星片,0.5g,,每12小时一次,口服,口服,敏感革兰氏阴性菌感染,18岁以下儿童禁用,肌腱炎、QT间期延长,不与茶碱同服,广谱喹诺酮,C,CrCl<50需减量,无需调整,q12h,,,
general-drug-database.ts,norfloxacin,诺氟沙星,0.1g/粒,g,抗感染药/氟喹诺酮类,第二代喹诺酮,Norfloxacin,NOR,诺氟沙星胶囊,0.4g,,每12小时一次,口服,口服,泌尿道感染、肠道感染,18岁以下儿童禁用,胃肠道反应,不与奶制品同服,用于尿路感染,C,CrCl<30需减量,无需调整,q12h,,,
general-drug-database.ts,gatifloxacin,加替沙星,0.2g/片,g,抗感染药/氟喹诺酮类,可致血糖异常,Gatifloxacin,GAT,加替沙星片,0.4g,,每24小时一次,口服,口服,呼吸道、泌尿道感染,18岁以下儿童禁用、糖尿病患者慎用,血糖异常、QT延长,不与降糖药同用,第四代喹诺酮,C,CrCl<40需减量,无需调整,q24h,,,
general-drug-database.ts,roxithromycin,罗红霉素,0.15g/片,g,抗感染药/大环内酯类,半合成大环内酯,Roxithromycin,ROX,罗红霉素分散片,0.15g,,每12小时一次,口服,口服,呼吸道、软组织感染,对大环内酯过敏者禁用,胃肠道反应,CYP3A4抑制,第二代大环内酯,C,无需调整,肝功能不全慎用,q12h,,,
general-drug-database.ts,streptomycin,链霉素,1g/支,g,抗感染药/氨基糖苷类,第一个氨基糖苷类,Streptomycin,STR,硫酸链霉素注射液,0.75-1g,,每24小时一次,肌肉注射,肌肉注射,结核病、鼠疫,孕妇禁用、听力下降禁用,耳毒性、肾毒性,与利尿剂合用增加毒性,抗结核药,C,CrCl<50需减量,无需调整,q24h,,,
general-drug-database.ts,netilmicin,奈替米星,0.1g/支,g,抗感染药/氨基糖苷类,耳毒性较轻,Netilmicin,NET,硫酸奈替米星注射液,4-6mg/kg,,每24小时一次,静脉注射,静脉注射,革兰氏阴性菌感染,孕妇、肾功能不全禁用,耳毒性、肾毒性,监测血药浓度,半合成氨基糖苷,C,CrCl<60需减量,无需调整,q24h,,,
general-drug-database.ts,clindamycin,克林霉素,0.15g/粒,g,抗感染药/林可酰胺类,林可酰胺类抗生素,Clindamycin,CLI,盐酸克林霉素胶囊,0.6g,,每8小时一次,口服,口服,厌氧菌感染、MRSA皮肤感染,克林霉素过敏者禁用,伪膜性肠炎、腹泻,与红霉素拮抗,抗厌氧菌,C,无需调整,无需调整,q8h,,,
general-drug-database.ts,lincomycin,林可霉素,0.6g/支,g,抗感染药/林可酰胺类,天然林可酰胺类,Lincomycin,LIN,盐酸林可霉素注射液,0.6g,,每8-12小时一次,静脉注射,静脉注射/肌肉注射,革兰氏阳性菌及厌氧菌感染,林可霉素过敏者禁用,伪膜性肠炎、肝毒性,与红霉素拮抗,天然林可酰胺,C,无需调整,肝功能不全慎用,q8-12h,,,
general-drug-database.ts,amphotericin-b,两性霉素B,50mg/支,mg,抗感染药/抗真菌药,多烯类抗真菌药,Amphotericin B,AMB,两性霉素B注射液,0.5-1mg/kg,,每24小时一次,静脉注射,静脉注射,系统性真菌感染,肾功能不全慎用,肾毒性、输液反应,输注前预防用药,广谱抗真菌,C,CrCl<50需减量,无需调整,q24h,,,
general-drug-database.ts,nystatin,制霉菌素,50万单位/片,万单位,抗感染药/抗真菌药,多烯类抗真菌药,Nystatin,NYS,制霉菌素片,200万单位,,每6小时一次,口服,口服,消化道念珠菌感染,对制霉菌素过敏者禁用,恶心、腹泻,不吸收,局部抗真菌,C,无需调整,无需调整,q6h,,,
general-drug-database.ts,itraconazole,伊曲康唑,0.1g/粒,g,抗感染药/三唑类抗真菌药,三唑类抗真菌药,Itraconazole,ITZ,斯皮仁诺,0.2g,,每12-24小时一次,口服,口服,深部真菌感染、甲真菌病,孕妇、肝功能不全禁用,肝毒性、心衰,与CYP3A4底物相互作用多,广谱三唑类,C,无需调整,肝功能不全禁用,q12-24h,,,
general-drug-database.ts,voriconazole,伏立康唑,0.2g/片,g,抗感染药/三唑类抗真菌药,新型三唑类,Voriconazole,VCZ,威凡,0.2g,,每12小时一次,口服,口服,侵袭性曲霉病,肝功能不全慎用,视觉障碍、肝毒性,CYP2C19多态性影响,广谱抗霉菌,C,无需调整,Child-Pugh C禁用,q12h,,,
general-drug-database.ts,caspofungin,卡泊芬净,50mg/支,mg,抗感染药/棘白菌素类,棘白菌素类抗真菌药,Caspofungin,CAS,科赛斯,50mg,,每24小时一次,静脉注射,静脉注射,侵袭性念珠菌病、曲霉病,对棘白菌素过敏者禁用,输液反应、肝酶升高,与环孢素合用增加肝毒性,棘白菌素类,C,无需调整,Child-Pugh C需减量,q24h,,,
general-drug-database.ts,candesartan,坎地沙坦酯,8mg/片,mg,心血管系统药物/ARB,ARB类降压药,Candesartan,CAN,必洛斯,8-16mg,,每24小时一次,口服,口服,高血压、心力衰竭,孕妇禁用,头晕、高钾血症,与ACE抑制剂合用增加不良反应,ARB类,D,无需调整,无需调整,q24h,,,
general-drug-database.ts,amiodarone,胺碘酮,0.2g/片,g,心血管系统药物/III类抗心律失常药,III类抗心律失常药,Amiodarone,AMD,可达龙,0.2g,,每8小时一次(负荷)/每24小时一次(维持),口服,口服,室性及室上性心律失常,病窦、二度以上传导阻滞禁用,肺毒性、甲状腺功能异常、QT延长,与华法林合用增加出血风险,广谱抗心律失常,C,无需调整,肝功能不全慎用,q8h→q24h,,,
general-drug-database.ts,sotalol,索他洛尔,80mg/片,mg,心血管系统药物/III类抗心律失常药,β受体阻滞+III类,Sotalol,SOT,施太可,80-160mg,,每12小时一次,口服,口服,室性及室上性心律失常,哮喘、窦缓、QT延长禁用,QT延长、尖端扭转型室速,监测QTc<500ms,III类抗心律失常,C,CrCl<60需减量,无需调整,q12h,,,
general-drug-database.ts,propafenone,普罗帕酮,150mg/片,mg,心血管系统药物/Ic类抗心律失常药,Ic类抗心律失常药,Propafenone,PRO,心律平,150-300mg,,每8小时一次,口服,口服,室性及室上性心律失常,严重心衰、窦缓禁用,心动过缓、头晕,与地高辛合用增加地高辛浓度,Ic类抗心律失常,C,无需调整,肝功能不全需减量,q8h,,,
