字段路径,中文名称,数据类型,说明,示例值
treatment.tsh.suppression,治疗.TSH抑制,String,"术后TSH抑制治疗目标。<br>**ATA推荐**:<br>- **低危**: TSH 0.5-2.0 mIU/L(正常低限)<br>- **中危**: TSH 0.1-0.5 mIU/L<br>- **高危**: TSH <0.1 mIU/L(完全抑制)<br>- **无病生存5-10年后**: 可放宽至0.5-2.0<br>**建议值**: `TSH 0.5-2.0`, `TSH 0.1-0.5`, `TSH <0.1`<br>**方法**: 左旋甲状腺素(L-T4)剂量调整<br>**临床意义**: TSH抑制可降低复发风险,但过度抑制增加房颤/骨质疏松风险",中危目标TSH 0.1-0.5
treatment.externalRadiation,治疗.外照射放疗,String,"外照射放疗(EBRT)。<br>**指征**:<br>- 肉眼残留病灶(R2切除)<br>- 镜下残留(R1)且非碘摄取<br>- 局部晚期不可切除(T4b)<br>- ATC(姑息性放疗)<br>**建议值**: `未行放疗`, `术后辅助放疗`, `姑息性放疗`, `立体定向放疗(SBRT)`<br>**剂量**: 50-70 Gy<br>**临床意义**: EBRT用于RAI无效病灶,可改善局部控制率",未行放疗
treatment.targetedTherapy,治疗.靶向治疗,String,"靶向治疗(用于晚期/转移性甲状腺癌)。<br>**DTC(碘难治)靶向药**:<br>- **索拉非尼(Sorafenib)**: 多靶点TKI,PFS 10.8月(DECISION研究)<br>- **仑伐替尼(Lenvatinib)**: 多靶点TKI,PFS 18.3月,ORR 65%(SELECT研究,优于索拉非尼)<br>**MTC靶向药**:<br>- **凡德他尼(Vandetanib)**: RET/VEGFR抑制剂,PFS 30.5月(ZETA研究)<br>- **卡博替尼(Cabozantinib)**: RET/MET/VEGFR抑制剂,PFS 11.2月(EXAM研究)<br>- **塞尔帕替尼(Selpercatinib)**: 高选择性RET抑制剂,ORR 69%(LIBRETTO-001),RET突变MTC首选<br>**BRAF V600E突变**:<br>- **达拉非尼+曲美替尼**: BRAF+MEK抑制剂,ATC ORR 69%<br>**NTRK融合**:<br>- **拉罗替尼(Larotrectinib)**: TRK抑制剂,ORR >75%<br>**建议值**: `未使用靶向治疗`, `索拉非尼`, `仑伐替尼`, `凡德他尼`, `卡博替尼`, `塞尔帕替尼`, `达拉非尼+曲美替尼`, `拉罗替尼`<br>**临床意义**: 靶向治疗用于进展性碘难治DTC或晚期MTC,需权衡获益与毒性(高血压/腹泻/手足综合征)",未使用靶向治疗
prognosis.dtc.survival,预后.DTC.生存率,String,"分化型甲状腺癌10年总生存率(OS)参考。<br>**PTC**: 93-98%<br>**FTC**: 85-93%<br>**低危DTC**: >98%<br>**中危DTC**: 85-95%<br>**高危DTC**: 50-70%<br>**碘难治DTC**: 10年OS 10-30%<br>**临床意义**: DTC预后极好,但需终生随访",预期>95%(低危PTC)
prognosis.recurrenceRisk,预后.复发风险,String,"术后复发风险评估。<br>**ATA低危**: 1-2%<br>**ATA中危**: 5-20%<br>**ATA高危**: >50%<br>**复发时间**: 80%复发发生于术后10年内,中位复发时间2-4年<br>**建议值**: `低风险(<5%)`, `中风险(5-20%)`, `高风险(>20%)`<br>**临床意义**: 高危患者需密切随访和积极治疗",中风险(ATA中危)
prognosis.mortalityRisk,预后.死亡风险,String,"甲状腺癌特异性死亡风险。<br>**高危因素**: 年龄>55岁、远处转移、肉眼腺外侵犯、高细胞型/柱状细胞型、BRAF+TERT双突变、碘难治<br>**建议值**: `极低风险(DTC低危)`, `低风险`, `中风险`, `高风险(M1/ATC)`<br>**临床意义**: PTC死亡率<5%,FTC 10-15%,MTC 25-30%,ATC >90%",低风险
followUp.tg.postRai,随访.Tg.RAI后抑制值,Number,"RAI治疗后3-6个月抑制性Tg值(TSH抑制状态下,ng/mL)。<br>**解读**:<br>- <0.2: 优秀反应<br>- 0.2-1.0: 生化不完全反应<br>- >1.0: 可能残留/复发<br>**临床意义**: 抑制性Tg是复发监测最重要指标",0.5
followUp.tg.stimulated,随访.Tg.刺激值,Number,"TSH刺激后Tg值(停药4-6周或rhTSH刺激后,ng/mL)。<br>**解读**:<br>- <1: 优秀反应<br>- 1-10: 生化不完全反应<br>- >10: 结构性疾病可能<br>**临床意义**: 刺激性Tg更敏感,但现在多用抑制性Tg+超声替代",2.3
followUp.response,随访.治疗反应,String,"动态风险分层(DRS,治疗反应评估)。<br>**优秀反应(Excellent response)**:<br>- 无影像学/临床疾病证据<br>- 抑制性Tg<0.2或刺激性Tg<1(TgAb阴性)<br>- 复发风险1-4%<br>**生化不完全反应(Biochemical incomplete response)**:<br>- 无影像学疾病<br>- 抑制性Tg≥1或刺激性Tg≥10,或TgAb升高<br>- 复发风险20%<br>**结构性不完全反应(Structural incomplete response)**:<br>- 影像学或活检证实病灶<br>- 任何Tg值<br>- 需进一步治疗<br>**不确定反应(Indeterminate response)**:<br>- 非特异性影像学改变<br>- 抑制性Tg 0.2-1或刺激性Tg 1-10<br>- 稳定TgAb<br>- 复发风险15-20%<br>**临床意义**: DRS指导后续治疗强度和随访频率,优秀反应可放宽TSH抑制目标",优秀反应
followUp.surveillance,随访.随访计划,String,"术后随访计划。<br>**ATA推荐**:<br>**前5年**:<br>- 低危: 6-12个月随访,颈部超声+抑制性Tg(TSH抑制治疗下)<br>- 中高危: 3-6个月随访,颈部超声+Tg,必要时全身碘扫描/18F-FDG PET-CT<br>**5-10年**: 6-12个月随访<br>**>10年**: 年度随访<br>**影像学**: 颈部超声为主,可疑病灶行FNA;碘难治/高危患者行PET-CT<br>**临床意义**: 终生随访,晚期复发(>10年)占10-20%",低危方案:6个月超声+Tg
remarks,备注,String,其他临床病理信息,经典型乳头状癌伴BRAF V600E突变,镜下微小腺外侵犯,中央区淋巴结转移3/8,ATA中危,建议术后RAI辅助治疗(100 mCi)+TSH抑制(目标0.1-0.5)
