fieldKey,fieldName,fieldType,fieldDescription,exampleValue
staging.bclc.stage,分期.BCLC分期,String,"Barcelona Clinic Liver Cancer分期(治疗导向分期)。<br>**0期(极早期)**: 单发<2cm, PS 0, Child A<br>**A期(早期)**: 单发或≤3个结节≤3cm, PS 0, Child A-B → 根治性治疗<br>**B期(中期)**: 多发, PS 0, Child A-B → TACE<br>**C期(晚期)**: 血管侵犯/肝外转移, PS 1-2, Child A-B → 靶向/免疫治疗<br>**D期(终末期)**: PS 3-4 或 Child C → 对症支持<br>**临床意义**: 全球最广泛使用的HCC分期系统,直接指导治疗选择",B期(中期)
staging.milan.criteria,分期.米兰标准,String,"米兰标准(Milan Criteria,肝移植标准)。<br>**标准**: 单发≤5cm 或 ≤3个结节各≤3cm,无大血管侵犯,无肝外转移<br>**建议值**: `符合米兰标准(可肝移植)`, `超出米兰标准`, `UCSF扩大标准(单发≤6.5cm或≤3个最大≤4.5cm且总径≤8cm)`, `超出UCSF标准`<br>**临床意义**: 符合米兰标准肝移植5年生存率>70%",符合米兰标准
staging.clip.score,分期.CLIP评分,Number,"Cancer of Liver Italian Program评分(0-6分)。<br>**评分项**: Child-Pugh(0-2分) + 肿瘤形态(0-2分) + AFP(0-1分) + 门静脉瘤栓(0-1分)<br>**预后**: 0-1分预后好,5-6分极差<br>**临床意义**: 整合肿瘤和肝功能,预后分层",2
staging.jis.score,分期.JIS评分,Number,"Japan Integrated Staging评分(0-5分)。<br>**计算**: Child-Pugh分级(A=0,B=1,C=2) + TNM分期(I=0,II=1,III=2,IV=3)<br>**预后**: 0分最好,5分最差<br>**临床意义**: 日本常用,结合肝功能和肿瘤分期",1
resectionMargin.status,切缘.状态,String,"手术切缘状态。<br>**建议值**: `R0(切缘阴性,距肿瘤≥1cm)`, `R1(镜下切缘阳性)`, `R2(肉眼切缘阳性)`<br>**临床意义**: R0切除5年生存率40-50% vs R1/R2的20-30%,切缘距离越远复发率越低",R0
resectionMargin.distance,切缘.最小距离,Number,"切缘距肿瘤的最小距离。<br>单位: cm<br>**临床意义**: ≥1cm是理想切缘,<1cm复发风险显著增加",1.2
resectionMargin.hepaticParenchyma,切缘.肝实质切缘,String,"肝实质切缘。<br>**建议值**: `阴性`, `阳性(肿瘤达切缘)`, `接近(<2mm)`<br>**临床意义**: 肝实质切缘阳性需再切除或局部治疗",阴性
resectionMargin.vascular,切缘.血管切缘,String,"血管切缘(门静脉/肝静脉)。<br>**建议值**: `未评估`, `阴性`, `阳性(瘤栓达切缘)`<br>**临床意义**: 血管切缘阳性预后极差,需补充治疗",阴性
backgroundLiver.cirrhosisGrade,背景肝.肝硬化分级,String,"非肿瘤肝组织肝硬化程度(Metavir/Ishak评分)。<br>**Metavir分级**: F0-F4(F4=肝硬化)<br>**Ishak分级**: 0-6(5-6=肝硬化)<br>**临床意义**: 肝硬化程度影响肝功能储备和术后并发症",F4(Metavir)
backgroundLiver.inflammation,背景肝.炎症活动度,String,"背景肝炎症活动度(Metavir A分级)。<br>**建议值**: `A0(无炎症)`, `A1(轻度)`, `A2(中度)`, `A3(重度)`<br>**临床意义**: 活动性肝炎增加HCC复发风险",A1(轻度)
backgroundLiver.steatosis,背景肝.脂肪变,String,"背景肝脂肪变程度。<br>**建议值**: `无(<5%)`, `轻度(5-33%)`, `中度(34-66%)`, `重度(>66%)`<br>**临床意义**: NAFLD/NASH背景的HCC比例上升",轻度(5-33%)
backgroundLiver.dysplasticNodules,背景肝.异型增生结节,String,"异型增生结节(Dysplastic Nodules)。<br>**建议值**: `无`, `低级别异型增生结节(LGDN)`, `高级别异型增生结节(HGDN)`<br>**临床意义**: HGDN是HCC前病变,需密切随访",无
backgroundLiver.regenerativeNodules,背景肝.再生结节,String,"肝硬化再生结节。<br>**建议值**: `无`, `小再生结节(<3mm)`, `大再生结节(3mm-1cm)`, `腺瘤样增生(>1cm)`<br>**临床意义**: 再生结节需与小肝癌鉴别",小再生结节(<3mm)
treatment.surgery.procedure,治疗.手术.术式,String,"手术方式。<br>**建议值**: `肝段切除`, `肝叶切除(右肝/左肝)`, `扩大肝叶切除`, `不规则肝切除`, `肝移植`, `腹腔镜肝切除`, `机器人辅助肝切除`<br>**临床意义**: 手术方式影响切缘、并发症和恢复",肝段切除
treatment.surgery.resectionType,治疗.手术.切除类型,String,"切除类型。<br>**建议值**: `解剖性肝切除`, `非解剖性肝切除(楔形切除)`<br>**临床意义**: 解剖性切除沿血管分界,理论上切缘更充分",解剖性肝切除
treatment.surgery.bloodLoss,治疗.手术.术中出血,Number,"术中出血量。<br>单位: mL<br>**临床意义**: 出血>1000mL提示手术难度大或血管损伤",500
treatment.surgery.transfusion,治疗.手术.输血,Boolean,"是否术中输血。<br>**临床意义**: 输血与术后并发症和复发相关",false
treatment.preoperative.tace,术前治疗.TACE,String,"术前经动脉化疗栓塞(TACE)。<br>**建议值**: `未行`, `已行1次`, `已行多次`, `TACE+消融联合`<br>**临床意义**: 术前TACE可降期,观察病理坏死程度评估疗效",未行
treatment.preoperative.ablation,术前治疗.消融,String,"术前消融治疗。<br>**建议值**: `未行`, `射频消融(RFA)`, `微波消融(MWA)`, `冷冻消融`, `不可逆电穿孔(IRE)`<br>**临床意义**: 消融可观察肿瘤坏死效果",未行
treatment.preoperative.radiotherapy,术前治疗.放疗,String,"术前放疗。<br>**建议值**: `未行`, `立体定向放疗(SBRT)`, `质子束放疗`, `选择性内放射治疗(SIRT)`<br>**临床意义**: 放疗可用于不可切除HCC或门脉瘤栓",未行
treatment.preoperative.systemic,术前治疗.系统治疗,String,"术前系统治疗。<br>**建议值**: `未行`, `索拉非尼`, `仑伐替尼`, `阿替利珠单抗+贝伐珠单抗(T+A)`, `FOLFOX化疗`<br>**临床意义**: 新辅助治疗可能降期转化为可切除",未行
treatment.postoperative.adjuvant,术后治疗.辅助治疗,String,"术后辅助治疗计划。<br>**建议值**: `无计划`, `TACE`, `靶向治疗`, `免疫治疗`, `中医药治疗`<br>**临床意义**: 高危复发患者(MVI阳性、切缘<1cm)可能受益",无计划
complications.surgical,并发症.手术并发症,String,"手术相关并发症。<br>**建议值**: `无`, `出血`, `胆漏`, `肝衰竭`, `腹腔感染`, `切口感染`, `肝切面积液`<br>**临床意义**: 并发症影响术后恢复和生存",无
complications.liverFailure,并发症.肝功能衰竭,String,"术后肝功能衰竭。<br>**建议值**: `无`, `50-50标准(术后5天PT<50%且胆红素>50μmol/L)`, `ISGLS定义(A/B/C级)`, `需肝移植`<br>**临床意义**: 肝衰竭是术后死亡主要原因",无
recurrence.status,复发.状态,String,"肿瘤复发情况(如为术后随访标本)。<br>**建议值**: `未复发`, `肝内复发`, `肝外转移`, `肝内+肝外复发`<br>**临床意义**: HCC术后5年复发率50-70%",未复发
recurrence.timeToRecurrence,复发.复发时间,Number,"术后至复发的时间。<br>单位: 月<br>**临床意义**: 早期复发(<2年)通常为肝内播散,晚期复发(>2年)可能为新发HCC",0
recurrence.pattern,复发.复发模式,String,"复发模式。<br>**建议值**: `早期复发(肝内播散型,<2年)`, `晚期复发(新发HCC型,≥2年)`, `多中心发生`, `切缘复发`<br>**临床意义**: 不同复发模式预后和治疗策略不同",
prognosis.riskFactors,预后.危险因素,String,"主要预后不良因素。<br>**危险因素**: 微血管侵犯(MVI)、肿瘤>5cm、多发、低分化、AFP>400、Child B-C、切缘<1cm、淋巴结转移、门脉瘤栓<br>**临床意义**: 危险因素数量与预后负相关",MVI、肿瘤6.5cm、AFP>400
prognosis.recurrenceRisk,预后.复发风险,String,"术后复发风险评估。<br>**建议值**: `低危(单发<5cm,无MVI,高分化,R0)`, `中危(单发≥5cm或2-3个结节,低危MVI)`, `高危(多发>3个或高危MVI或低分化或R1)`<br>**临床意义**: 高危患者5年复发率>70%,需密切随访或辅助治疗",中危
prognosis.survivalEstimate,预后.生存预估,String,"总体生存预估。<br>**BCLC 0-A期**: 5年生存率50-70%<br>**BCLC B期**: 中位生存20-30月<br>**BCLC C期**: 中位生存6-11月<br>**BCLC D期**: 中位生存<6月<br>**肝移植(米兰标准内)**: 5年生存率>70%",5年生存率约50%(BCLC A期,R0切除)
followUp.surveillance,随访.监测方案,String,"术后监测方案。<br>**标准方案**: 术后2年内每3月AFP+增强CT/MRI,2-5年每6月,5年后每年<br>**高危患者**: 每2-3月监测<br>**检测项目**: AFP、AFP-L3、DCP、增强CT/MRI、肝功能、Child-Pugh评分",每3月AFP+增强CT
followUp.nextImaging,随访.下次影像,String,"推荐的下次影像检查时间和方式。<br>**建议值**: `3个月后增强CT`, `6个月后增强MRI`, `1年后`, `根据复发风险个体化`<br>**临床意义**: 及早发现复发可再次根治性治疗",3个月后增强CT
pathologyDiagnosis,病理诊断,String,"病理诊断结论(简明版)。<br>**格式示例**: (右肝)肝细胞癌,中分化(Edmondson II级),7.2cm,单发,低危微血管侵犯,R0切除,背景肝硬化(HBV相关),T2N0M0,AJCC II期,BCLC B期",肝细胞癌(中分化),7.2cm,单发,MVI(+),R0,Child A,T2N0M0,II期
recommendations,建议,String,"病理医师临床建议。<br>**示例**: 建议完善分子检测、建议免疫组化补充CK19、建议定期AFP监测、建议多学科会诊(MDT)、建议术后辅助治疗、建议HBV抗病毒治疗",建议3个月后复查AFP和增强CT,HBV抗病毒治疗,考虑MDT讨论是否辅助治疗
