字段名 (英文),字段名 (中文),数据类型,描述,示例
patientEducation.diseaseKnowledge,患者教育.疾病认知,String,"疾病认知水平。<br>**建议值**: `差`, `一般`, `良好`",良好
patientEducation.selfManagementSkills,患者教育.自我管理技能,String,"自我管理技能。<br>**建议值**: `差`, `一般`, `良好`",一般
patientEducation.lifestyleModification Knowledge,患者教育.生活方式改变认知,String,"生活方式改变认知。<br>**建议值**: `差`, `一般`, `良好`",良好
patientEducation.fertilityAwareness,患者教育.生育认知,String,"生育相关知识。<br>**建议值**: `差`, `一般`, `良好`",一般
patientEducation.treatment Compliance,患者教育.治疗依从性,String,"治疗依从性。<br>**建议值**: `差`, `一般`, `良好`",一般
multidisciplinaryCare.reproductive Endocrinologist,多学科协作.生殖内分泌科,String,"生殖内分泌科参与。<br>**建议值**: `主管`, `会诊`, `转诊`",主管
multidisciplinaryCare.endocrinologist,多学科协作.内分泌科,String,"内分泌科参与。<br>**建议值**: `主管`, `会诊`, `转诊`",会诊
multidisciplinaryCare.gynecologist,多学科协作.妇科,String,"妇科参与。<br>**建议值**: `主管`, `会诊`, `转诊`",会诊
multidisciplinaryCare.andrologist,多学科协作.男科,String,"男科参与（男性）。<br>**建议值**: `主管`, `会诊`, `转诊`",不适用
multidisciplinaryCare.nutritionist,多学科协作.营养师,String,"营养师参与。<br>**建议值**: `必需`, `建议`, `可选`",建议
multidisciplinaryCare.mentalHealthProfessional,多学科协作.心理健康专家,String,"心理健康专家参与。<br>**建议值**: `必需`, `建议`, `可选`",建议
multidisciplinaryCare.dermatologist,多学科协作.皮肤科,String,"皮肤科参与。<br>**建议值**: `主管`, `会诊`, `转诊`",可选
followUpPlan.monitoring Frequency,随访计划.监测频率,String,"随访监测频率",每3个月复查
followUpPlan.hormonalReassessment,随访计划.激素重评,String,"激素重新评估计划",治疗3个月后复查性激素
followUpPlan.metabolicReassessment,随访计划.代谢重评,String,"代谢重新评估计划",每6个月评估糖脂代谢
followUpPlan.fertilityFollowUp,随访计划.生育随访,String,"生育相关随访",排卵监测，必要时辅助生殖
followUpPlan.complicationScreening,随访计划.并发症筛查,String,"并发症筛查计划",年度子宫内膜评估
followUpPlan.lifestyleSupport,随访计划.生活方式支持,String,"生活方式持续支持",营养师和运动指导
prognosisAssessment.fertility.shortTerm,预后评估.生育.短期预后,String,"短期生育预后。<br>**建议值**: `良好`, `一般`, `较差`",一般
prognosisAssessment.fertility.longTerm,预后评估.生育.长期预后,String,"长期生育预后。<br>**建议值**: `良好`, `一般`, `较差`",一般
prognosisAssessment.metabolic.progressionRisk,预后评估.代谢.进展风险,String,"代谢异常进展风险。<br>**建议值**: `低`, `中`, `高`",高
prognosisAssessment.metabolic.diabetesRisk,预后评估.代谢.糖尿病风险,String,"糖尿病发生风险。<br>**建议值**: `低`, `中`, `高`",高
prognosisAssessment.treatmentResponse.likelihood,预后评估.治疗反应.可能性,String,"治疗反应可能性。<br>**建议值**: `高`, `中`, `低`",中
prognosisAssessment.complication.cancerRisk,预后评估.并发症.癌症风险,String,"远期癌症风险。<br>**建议值**: `低`, `中`, `高`",中
preventiveStrategies.lifestyle Interventions,预防策略.生活方式干预,String,"生活方式干预措施",低糖饮食和规律运动
preventiveStrategies.weightManagement,预防策略.体重管理,String,"体重管理策略",目标减重5-10%
preventiveStrategies.metabolicMonitoring,预防策略.代谢监测,String,"代谢监测策略",定期血糖血脂监测
preventiveStrategies.cancerScreening,预防策略.癌症筛查,String,"癌症筛查策略",定期妇科检查和子宫内膜评估
researchParticipation.clinicalTrials,研究参与.临床试验,String,"临床试验参与意愿。<br>**建议值**: `愿意`, `不愿意`, `考虑中`",考虑中
researchParticipation.biobanking,研究参与.生物样本库,String,"生物样本库参与",愿意提供血液和组织样本
researchParticipation.longitudinal Studies,研究参与.纵向研究,String,"纵向研究参与",愿意参加长期随访研究
specialConsiderations.adolescent,特殊考虑.青少年,String,"青少年特殊考虑。<br>**建议值**: `不适用`, `需要考虑`",不适用
specialConsiderations.elderly,特殊考虑.老年,String,"老年患者特殊考虑。<br>**建议值**: `不适用`, `需要考虑`",不适用
specialConsiderations.ethnicity,特殊考虑.种族,String,"种族特殊考虑",亚洲人群PCOS特点
specialConsiderations.concomitant Medications,特殊考虑.合并用药,String,"合并用药特殊考虑",无特殊用药
specialConsiderations.comorbidities,特殊考虑.合并症,String,"合并症特殊考虑",甲状腺功能亢进症
emergencyManagement.ovarianHyperstimulation,急症处理.卵巢过度刺激,String,"卵巢过度刺激综合征风险。<br>**建议值**: `低`, `中`, `高`",中
emergencyManagement.severeMetabolic Decompensation,急症处理.严重代谢失代偿,String,"严重代谢失代偿风险。<br>**建议值**: `低`, `中`, `高`",低
emergencyManagement.psycho logical Crisis,急症处理.心理危机,String,"心理危机风险。<br>**建议值**: `低`, `中`, `高`",中
technologyIntegration.hormone MonitoringApps,技术整合.激素监测应用,String,"激素监测APP使用",使用月经周期追踪APP
technologyIntegration.telemedicine,技术整合.远程医疗,String,"远程医疗应用",定期远程咨询
technologyIntegration.wearableDevices,技术整合.可穿戴设备,String,"可穿戴设备使用",使用智能手表监测活动
diagnosisImpression,诊断/印象,String,医生对生殖内分泌代谢检查结果的综合诊断或印象。,多囊卵巢综合征伴胰岛素抵抗，继发性闭经，原发性不孕症
recommendation,建议,String,医生根据检查结果提出的建议。,生活方式干预，二甲双胍改善胰岛素抵抗，氯米芬促排卵，必要时辅助生殖技术
