fieldName,displayName,dataType,description,exampleValue
staging.tnm.overall,分期.TNM.总分期,String,"AJCC第8版总分期(鳞癌)。<br>**0期**: TisN0M0<br>**IA期**: T1N0M0 G1,5年OS 80-90%<br>**IB期**: T1N0M0 G2-3或T2N0M0 G1,5年OS 70%<br>**IIA期**: T2N0M0 G2-3,5年OS 50-60%<br>**IIB期**: T3N0M0或T1-2N1M0,5年OS 40%<br>**IIIA期**: T1-2N2M0或T3N1M0或T4aN0M0,5年OS 25%<br>**IIIB期**: T3N2M0或T4aN1-2M0,5年OS 15%<br>**IVA期**: T4bN任何M0或T任何N3M0,5年OS 10%<br>**IVB期**: M1,5年OS <5%<br>**注**: 腺癌分期略有不同,IA/IB/IC按G1/G2/G3细分<br>**临床意义**: I-IIA期手术为主,IIB-III期新辅助+手术,IVB期姑息治疗",IIB期(T3N0M0)
lymphNode.totalNumber,淋巴结.清扫总数,Number,"淋巴结清扫总数。<br>**标准**: 推荐清扫≥15枚(两野清扫),≥20枚(三野清扫)<br>**临床意义**: 清扫淋巴结数是预后独立因素,清扫≥15枚患者5年生存率比<15枚高10-15%;清扫数<15枚可能导致分期偏低(stage migration)",18
lymphNode.positiveNumber,淋巴结.阳性数目,Number,"淋巴结转移阳性数目。<br>**临床意义**: 阳性淋巴结数是最强预后因素,每增加1枚阳性淋巴结,死亡风险增加5-10%",2
lymphNode.positiveRatio,淋巴结.阳性比例,Number,"阳性淋巴结比例(阳性数/清扫总数)。<br>**判断**:<br>- <10%: 低风险<br>- 10-20%: 中风险<br>- >20%: 高风险<br>**临床意义**: 阳性比例>20%提示预后极差,5年生存率<10%,需强化辅助治疗",0.11(11%)
lymphNode.stationInvolved,淋巴结.受累站,String,"受累淋巴结站(按日本食管学会分站)。<br>**颈部**: 101(锁骨上)、102(颈深)、104(喉返神经旁)<br>**胸部上纵隔**: 105(上纵隔)、106(气管旁)、recL(左喉返神经旁)、recR(右喉返神经旁)<br>**胸部中下纵隔**: 107(隆突下)、108(食管旁中段)、109(食管旁下段)、110(下纵隔)<br>**腹部**: 1(贲门右)、2(贲门左)、3(胃小弯)、7(胃左动脉)、9(腹腔干)<br>**建议值**: 如`107,108`(多站用逗号分隔)<br>**临床意义**: 喉返神经旁淋巴结(recL/recR,106)是食管鳞癌最常见转移站(30-40%);颈部淋巴结转移(101/102)提示预后差;跳跃式转移(无邻近站转移)预后较好",107,108
surgery.type,手术.手术方式,String,"食管切除术式。<br>**Sweet手术**(左胸后外侧切口): 经左胸入路,适用于胸中下段食管癌,吻合口在胸腔,较少使用<br>**Ivor-Lewis手术**(胸腹二切口): 先开腹游离胃,再经右胸切除食管+胃食管胸内吻合,适用于胸中下段食管癌,吻合口瘘率5-10%,预后较好<br>**McKeown手术**(颈胸腹三切口): 颈部、右胸、腹部三切口,胃食管颈部吻合,适用于胸上中段食管癌,可行三野淋巴结清扫,吻合口瘘率10-15%(但非致命性)<br>**经食管裂孔入路**: 适用于EGJ腺癌<br>**建议值**: `Sweet手术`, `Ivor-Lewis手术`, `McKeown手术`, `经食管裂孔入路`, `姑息性食管胃转流术`<br>**临床意义**: Ivor-Lewis术手术时间短、出血少、吻合口瘘率低,适合胸中下段;McKeown术可行三野淋巴结清扫,适合胸上中段,但手术时间长、创伤大",Ivor-Lewis手术
surgery.approach,手术.手术入路,String,"手术入路。<br>**开放手术**: 传统开胸开腹,视野好,适用于局部晚期/粘连严重病例<br>**微创食管切除术(MIE)**: 胸腹腔镜联合,创伤小、恢复快,适用于大部分可切除食管癌<br>- **MIE Ivor-Lewis**: 腹腔镜+胸腔镜,胸内吻合<br>- **MIE McKeown**: 腹腔镜+胸腔镜+颈部小切口,颈部吻合<br>**机器人辅助食管切除术(RAMIE)**: da Vinci机器人,3D视野,精细操作,尤其利于上纵隔和喉返神经旁淋巴结清扫<br>**建议值**: `开放手术`, `MIE Ivor-Lewis`, `MIE McKeown`, `RAMIE机器人辅助`<br>**临床意义**: MIE vs 开放:手术时间相似,出血少(200 vs 400ml),肺部并发症少(15% vs 30%),住院短(10 vs 15天),5年生存率相似(45% vs 42%);机器人手术在上纵隔淋巴结清扫方面有优势",MIE Ivor-Lewis
surgery.lymphNodeDissection,手术.淋巴结清扫方式,String,"淋巴结清扫范围。<br>**两野清扫**: 胸部+腹部淋巴结清扫,标准术式,清扫≥15枚<br>- 胸部: 105/106/recL/recR/107/108/109/110站<br>- 腹部: 1/2/3/7/9站<br>**三野清扫**: 颈部+胸部+腹部,清扫≥20枚<br>- 增加颈部: 101/102/104站<br>- 适应症: 胸上中段鳞癌,术前影像提示颈部淋巴结可疑<br>**建议值**: `两野清扫(胸腹)`, `三野清扫(颈胸腹)`, `选择性清扫`<br>**临床意义**: 三野清扫 vs 两野清扫,5年生存率55% vs 48%(日本JCOG9502研究),但手术时间长2小时,喉返神经损伤率增加(10% vs 5%);中国胸上段鳞癌多行三野清扫",两野清扫(胸腹)
surgery.complications,手术.并发症,String,"术后并发症。<br>**吻合口瘘**: 5-15%,最常见且严重,Ivor-Lewis胸内瘘致命(死亡率30-50%),McKeown颈部瘘非致命(死亡率<5%)<br>**肺部感染/ARDS**: 15-25%,老年/吸烟/单肺通气时间长<br>**喉返神经损伤**: 5-15%(暂时性),2-5%(永久性),声音嘶哑/误吸<br>**乳糜胸**: 2-5%,胸导管损伤,需引流>7天或再次手术<br>**吻合口狭窄**: 10-20%,3-6个月出现,需内镜扩张<br>**胃排空障碍**: 5-10%<br>**心律失常(房颤)**: 10-20%<br>**建议值**: `无`, `吻合口瘘`, `肺部感染`, `喉返神经损伤`, `乳糜胸`, `吻合口狭窄`, `心律失常`, `其他`<br>**临床意义**: 吻合口瘘是术后死亡主要原因,胸内瘘死亡率30-50%,早期识别和引流是关键;微创手术可降低肺部并发症率",无
treatment.neoadjuvant.nCRT,治疗.新辅助.放化疗,String,"新辅助放化疗(nCRT)。<br>**CROSS方案**(标准方案,荷兰2012):<br>- 卡铂AUC=2+紫杉醇50mg/m² 每周×5周+同步放疗41.4Gy/23fx<br>- pCR率: 鳞癌49%,腺癌23%,总体29%<br>- 10年OS: 46% vs 手术单独23%(HR 0.70)<br>- R0切除率: 92% vs 69%<br>**NEOCRTEC5010方案**(中国,鳞癌):<br>- 长春瑞滨25mg/m²+顺铂75mg/m² q3w×2周期+同步放疗40Gy/20fx<br>- pCR率43.2%,R0切除率98.4% vs 91.2%<br>**建议值**: `未行新辅助`, `CROSS方案(卡铂+紫杉醇+41.4Gy)`, `NEOCRTEC5010(长春瑞滨+顺铂+40Gy)`, `其他nCRT方案`<br>**临床意义**: nCRT是局部晚期食管癌(cT3-4a或cN+)标准治疗,显著提高R0切除率和长期生存;鳞癌pCR率(43-49%)明显高于腺癌(23%);pCR患者5年OS>70%",CROSS方案(卡铂+紫杉醇+41.4Gy)
treatment.neoadjuvant.nCT,治疗.新辅助.化疗,String,"新辅助化疗(nCT,无放疗)。<br>**FLOT方案**(主要用于EGJ腺癌):<br>- 氟尿嘧啶2600mg/m²持续24h+亚叶酸钙200mg/m²+奥沙利铂85mg/m²+多西他赛50mg/m² q2w×4周期(术前)+4周期(术后)<br>- ESOPEC研究(2024 NEJM): FLOT围手术期化疗 vs CROSS放化疗,EGJ腺癌OS HR 0.70,PFS HR 0.69,FLOT优于CROSS<br>**CF/ECF方案**: 顺铂+氟尿嘧啶/表柔比星+顺铂+氟尿嘧啶<br>**TP方案**: 紫杉醇+顺铂<br>**建议值**: `未行新辅助化疗`, `FLOT方案(围手术期)`, `CF方案`, `ECF方案`, `TP方案`<br>**临床意义**: FLOT围手术期化疗已成为EGJ腺癌新标准(2024 NEJM),优于CROSS放化疗;但鳞癌仍首选nCRT",未行新辅助化疗
treatment.neoadjuvant.pCR,治疗.新辅助.病理完全缓解,String,"新辅助治疗后病理完全缓解(pCR)。<br>**定义**: ypT0N0,原发灶和淋巴结均无残留肿瘤(仅纤维化/坏死)<br>**pCR率**: CROSS鳞癌49%、腺癌23%;NEOCRTEC5010鳞癌43.2%;nCT<10%<br>**建议值**: `未行新辅助`, `pCR(ypT0N0)`, `部分缓解(残留肿瘤<10%)`, `残留肿瘤10-50%`, `残留肿瘤>50%`, `无缓解(肿瘤进展)`<br>**临床意义**: pCR是最强预后因素,pCR患者5年OS 70-80% vs 非pCR 30-40%;pCR患者局部复发率<5%,远处转移率<10%;nCRT达cCR(临床完全缓解)后可考虑主动监测代替手术(研究中)",pCR(ypT0N0)
treatment.adjuvant,治疗.辅助治疗,String,"术后辅助治疗。<br>**辅助化疗**: pT3-4或pN+患者,未行新辅助治疗者<br>- 方案: CF/TP,4-6周期<br>- 获益: 5年OS提高5-10%(Meta分析)<br>**辅助放疗**: R1切除或淋巴结大量转移(≥7枚)或CRM阳性<br>- 剂量: 50-60Gy/25-30fx<br>- 降低局部复发率从30%至15%<br>**辅助免疫**: CheckMate 577研究,纳武利尤单抗辅助治疗(nCRT后ypT≥1或ypN+患者),DFS 22.4月 vs 安慰剂11.0月(HR 0.69),2021 FDA批准<br>**建议值**: `未行辅助治疗`, `辅助化疗-CF方案`, `辅助化疗-TP方案`, `辅助放疗`, `辅助放化疗`, `辅助纳武利尤单抗(nCRT后残留)`<br>**临床意义**: CheckMate 577是食管癌首个阳性辅助免疫治疗研究,纳武利尤单抗显著改善DFS,已成为nCRT后残留患者标准治疗",辅助纳武利尤单抗1年
treatment.palliative.chemo,治疗.姑息治疗.化疗,String,"晚期姑息化疗。<br>**一线化疗**(氟尿嘧啶+铂类双药):<br>- **CF方案**: 顺铂75-100mg/m² d1+氟尿嘧啶800-1000mg/m²/d持续4-5天 q3-4w,ORR 35-45%,PFS 5-7月,OS 9-11月<br>- **ECF方案**: 表柔比星50mg/m²+顺铂60mg/m²+氟尿嘧啶持续<br>- **DCF方案**: 多西他赛+顺铂+氟尿嘧啶,ORR 45-50%,但毒性大<br>**二线化疗**:<br>- 紫杉醇/多西他赛/伊立替康单药,ORR 15-25%,PFS 3-4月<br>**建议值**: `未用`, `CF方案`, `ECF方案`, `DCF方案`, `紫杉醇单药(二线)`, `伊立替康单药(二线)`<br>**临床意义**: 氟尿嘧啶+铂类是标准一线化疗,中位OS 9-11月;体能状态好(PS 0-1)患者可用三药DCF,ORR更高但毒性大",CF方案(6周期)
treatment.palliative.immuno,治疗.姑息治疗.免疫治疗,String,"晚期免疫治疗。<br>**一线免疫+化疗**:<br>- **KEYNOTE-590**(帕博利珠单抗+CF): CPS≥10患者OS 13.5月 vs 化疗9.4月,CPS<10无获益(OS 10.5月 vs 10.6月),2021 FDA批准<br>- **CheckMate 648**(纳武利尤单抗+化疗或纳武+伊匹木单抗): CPS≥5患者纳武+化疗OS 13.7月 vs 化疗9.1月;纳武+伊匹OS 12.7月 vs 9.1月,2022 FDA批准<br>**二线免疫单药**:<br>- **KEYNOTE-181**(帕博利珠单抗): CPS≥10患者OS 9.3月 vs 化疗6.7月<br>- **ATTRACTION-3**(纳武利尤单抗,鳞癌): OS 10.9月 vs 化疗8.4月<br>**建议值**: `未用`, `帕博利珠单抗+CF(一线,CPS≥10)`, `纳武利尤单抗+CF(一线,CPS≥5)`, `纳武+伊匹木单抗(一线,CPS≥1)`, `帕博利珠单抗单药(二线,CPS≥10)`, `纳武利尤单抗单药(二线,鳞癌)`<br>**临床意义**: PD-L1 CPS是疗效预测标志物,CPS≥10患者一线免疫+化疗显著获益;鳞癌免疫治疗疗效优于腺癌",帕博利珠单抗+CF(一线,CPS=25)
treatment.palliative.targeted,治疗.姑息治疗.靶向治疗,String,"晚期靶向治疗。<br>**HER2靶向**(EGJ腺癌/食管腺癌):<br>- **曲妥珠单抗+化疗**(ToGA研究): HER2阳性患者OS 13.8月 vs 化疗11.1月,IHC3+患者OS 16.0月<br>- **曲妥珠单抗deruxtecan(T-DXd)**: DESTINY-Gastric04研究,HER2阳性EGJ腺癌ORR 56.8%,PFS 7.0月 vs 化疗3.9月,2024 FDA批准二线<br>**抗血管生成**:<br>- 阿帕替尼(国产): 二线/三线,PFS 3.7月 vs 安慰剂1.9月<br>**FGFR2抑制剂**: 研究中<br>**建议值**: `未用`, `曲妥珠单抗+化疗(HER2+)`, `T-DXd(HER2+,二线)`, `阿帕替尼(三线)`<br>**临床意义**: HER2阳性EGJ腺癌(15-25%)应一线曲妥珠单抗+化疗;T-DXd(DS-8201)是新一代ADC药物,对HER2低表达也有效",曲妥珠单抗+CF(HER2阳性)
treatment.radiotherapy,治疗.放射治疗,String,"放射治疗。<br>**根治性放化疗**(definitive CRT,不可切除或拒绝手术):<br>- 同步放化疗: 50-60Gy/25-30fx+CF或TP化疗<br>- 5年OS 15-25%,局控率60-70%<br>- PACIFIC研究: 度伐利尤单抗巩固治疗(正在进行)<br>**姑息性放疗**:<br>- 出血/梗阻: 30-40Gy/10-15fx,缓解率70-80%<br>- 骨转移止痛: 单次8Gy或30Gy/10fx<br>- 脑转移: 全脑放疗30Gy/10fx或SRS<br>**术后放疗**: R1切除/CRM阳性/淋巴结大量转移,50-60Gy/25-30fx<br>**建议值**: `未行放疗`, `根治性同步放化疗(50-60Gy)`, `姑息性放疗-梗阻/出血`, `姑息性放疗-骨转移`, `术后放疗`<br>**临床意义**: 根治性CRT用于不可切除或拒绝手术的局部晚期患者,5年OS 15-25%(低于手术);姑息放疗对梗阻/出血缓解率70-80%",根治性同步放化疗(50Gy)
prognosis.stage5YearOS,预后.分期5年生存率,String,"基于AJCC第8版分期的5年总生存率(%)。<br>**IA期**: 80-90%<br>**IB期**: 70%<br>**IIA期**: 50-60%<br>**IIB期**: 40%<br>**IIIA期**: 25%<br>**IIIB期**: 15%<br>**IVA期**: 10%<br>**IVB期**: <5%<br>**新辅助治疗后**: pCR 70-80%,ypT1-2N0 50-60%,ypN+ 20-30%<br>**临床意义**: 早期诊断至关重要,IA期5年OS 80-90%,IVB期<5%;新辅助治疗pCR患者预后接近早期病例",IIB期5年OS约40%
prognosis.recurrence,预后.复发情况,String,"术后复发情况。<br>**复发时间**: 中位复发时间12-18月,80%复发发生在术后2年内<br>**复发模式**:<br>- **远处转移**: 60-70%(肝30%、肺20%、骨10%、腹腔淋巴结20%)<br>- **局部区域复发**: 20-30%(吻合口/纵隔/锁骨上淋巴结)<br>- **混合复发**: 10%<br>**复发高危因素**: pT3-4、pN+、G3、LVI+、PNI+、R1切除、CRM阳性、无新辅助治疗<br>**建议值**: `未复发`, `局部复发-吻合口`, `局部复发-纵隔淋巴结`, `局部复发-锁骨上淋巴结`, `远处转移-肝`, `远处转移-肺`, `远处转移-骨`, `腹膜转移`, `多发转移`<br>**临床意义**: 食管癌以远处转移为主要复发模式(60-70%),提示需系统治疗;pN+患者2年复发率>50%",未复发
prognosis.riskFactors,预后.不良预后因素,String,"独立不良预后因素。<br>**病理因素**: 低分化(G3)、LVI阳性、PNI阳性、CRM阳性/接近、R1切除<br>**分期因素**: pT3-4、pN+(尤其≥3枚)、淋巴结阳性比例>20%、M1<br>**治疗因素**: 未行新辅助治疗、新辅助治疗无缓解、术后并发症(吻合口瘘)<br>**分子因素**: HER2阴性(腺癌)、PD-L1 CPS<10<br>**其他**: 术前CEA/SCC升高、体重下降>10%、PS 2-4、年龄>70岁<br>**建议值**: 如`低分化,LVI阳性,pN2,CRM接近`(多个用逗号分隔)<br>**临床意义**: 有≥3个高危因素患者5年生存率<15%,需强化辅助治疗;CRM阳性/R1切除是最强不良预后因素,5年生存率<15%",低分化,LVI阳性,pN1
followUp.protocol,随访.随访方案,String,"术后随访方案。<br>**0-2年**(高危期):<br>- 每3个月: 体检+胸腹CT+肿瘤标志物(CEA/SCC/CYFRA21-1)<br>- 每6-12个月: 胃镜(检查吻合口/残胃)<br>**3-5年**:<br>- 每6个月: 体检+胸腹CT+肿瘤标志物<br>- 每年: 胃镜<br>**5年后**: 每年体检+CT+胃镜<br>**其他**:<br>- PET-CT: 不推荐常规随访,仅用于可疑复发<br>- 营养评估: 每次随访,监测体重和白蛋白,必要时营养支持<br>**建议值**: `0-2年高危随访方案`, `3-5年随访方案`, `5年后年度随访`<br>**临床意义**: 80%复发发生在术后2年内,前2年需密切随访;吻合口狭窄和残胃炎常见,需定期胃镜;营养不良发生率50-60%,需长期营养评估和支持",0-2年高危随访方案
followUp.nutrition,随访.营养状况,String,"术后营养状况和支持。<br>**营养不良发生率**: 50-60%,主要因胃容量减小、倾倒综合征、胃排空障碍<br>**营养评估**: 体重、BMI、白蛋白、前白蛋白、淋巴细胞计数<br>**营养支持**:<br>- 少量多餐(每天6-8餐)<br>- 高蛋白高热量饮食<br>- 口服营养补充(ONS): 肠内营养粉<br>- 必要时肠内营养(空肠造瘘管饲)<br>**建议值**: `营养良好(体重稳定,白蛋白正常)`, `轻度营养不良(体重下降5-10%)`, `中度营养不良(体重下降10-20%)`, `重度营养不良(体重下降>20%,白蛋白<30g/L)`<br>**临床意义**: 营养不良影响生活质量和预后,需长期营养评估和干预;空肠造瘘管饲可改善重度营养不良",轻度营养不良(体重下降8%)
followUp.smokingCessation,随访.戒烟戒酒,String,"戒烟戒酒情况。<br>**重要性**: 术后继续吸烟/饮酒使复发风险增加2-3倍,二原发食管癌风险增加5倍<br>**二原发癌**: 食管癌术后10年二原发癌发生率15-20%,主要为头颈部癌(口腔/咽喉/肺癌)<br>**戒烟戒酒支持**: 行为干预+药物治疗(尼古丁替代/伐尼克兰)<br>**建议值**: `从不吸烟饮酒`, `已戒烟戒酒(术前)`, `术后立即戒烟戒酒`, `术后仍吸烟/饮酒`<br>**临床意义**: 戒烟戒酒是食管癌患者最重要的生活方式干预,降低复发和二原发癌风险;需终身戒除",术后立即戒烟戒酒
