字段路径,中文名称,数据类型,说明,示例值
molecular.met.status,分子标记.MET.状态,String,"MET基因异常状态。<br>**MET扩增**: 拷贝数增加,通常GCN≥5或MET/CEP7≥2.0<br>**MET 14外显子跳跃突变(Ex14 skip)**: 剪接突变导致14外显子缺失<br>**建议值**: `野生型`, `MET扩增`, `MET Ex14跳跃突变`, `MET扩增+Ex14突变`<br>**频率**: MET扩增5%,Ex14突变3-4%<br>**临床意义**: 两种MET异常均可用MET-TKI靶向治疗",野生型
molecular.met.ex14skip,分子标记.MET.Ex14跳跃,String,"MET 14外显子跳跃突变。<br>**建议值**: `阴性`, `阳性`<br>**机制**: 剪接位点突变导致Ex14缺失,c-Cbl结合位点丧失,MET蛋白降解减少,持续激活<br>**治疗**: 卡马替尼(Capmatinib,ORR 68%,PFS 12.5月)/特泊替尼(Tepotinib,ORR 46%)/赛沃替尼<br>**临床意义**: MET Ex14抑制剂2021获FDA批准,是第四大可靶向驱动基因",阴性
molecular.met.amplification,分子标记.MET.扩增,String,"MET基因扩增。<br>**建议值**: `无扩增`, `低水平扩增(GCN 5-10)`, `高水平扩增(GCN>10)`<br>**机制**: MET扩增可作为EGFR-TKI获得性耐药机制(15%)<br>**治疗**: 卡马替尼/特泊替尼,或EGFR-TKI+MET-TKI联合<br>**临床意义**: MET扩增是EGFR-TKI耐药第二常见机制(仅次于T790M)",无扩增
molecular.her2.status,分子标记.HER2.状态,String,"HER2基因异常状态。<br>**建议值**: `野生型`, `HER2突变`, `HER2扩增`<br>**频率**: HER2突变2-4%,HER2扩增1-2%<br>**临床意义**: HER2突变可用T-DM1/吡咯替尼/波奇替尼",野生型
molecular.her2.mutation,分子标记.HER2.突变,String,"HER2基因突变。<br>**常见突变**: 外显子20插入突变(A775_G776insYVMA等)<br>**治疗**: T-DM1(曲妥珠单抗-美坦新偶联)/吡咯替尼/波奇替尼,ORR 30-50%<br>**建议值**: `阴性`, `Ex20插入突变`, `其他HER2突变`<br>**临床意义**: HER2突变与EGFR/ALK互斥,多见于不吸烟女性腺癌",阴性
molecular.ret.status,分子标记.RET.状态,String,"RET基因融合状态。<br>**建议值**: `阴性`, `阳性`<br>**频率**: NSCLC 1-2%,多见于年轻/不吸烟/腺癌患者<br>**临床意义**: RET融合可用高选择性RET抑制剂",阴性
molecular.ret.fusion,分子标记.RET.融合类型,String,"RET融合伴侣基因。<br>**常见融合**: KIF5B-RET(最常见,70%)、CCDC6-RET(20%)、NCOA4-RET(5%)<br>**建议值**: `KIF5B-RET`, `CCDC6-RET`, `NCOA4-RET`, `其他RET融合`<br>**治疗**: 塞尔帕替尼(Selpercatinib,ORR 64%)/普拉替尼(Pralsetinib,ORR 61%)<br>**临床意义**: 高选择性RET抑制剂2020获FDA批准,优于多靶点TKI(卡博替尼/凡德他尼)",不适用(RET阴性)
molecular.ntrk.status,分子标记.NTRK.状态,String,"NTRK基因融合状态。<br>**建议值**: `阴性`, `阳性`<br>**频率**: NSCLC <1%,罕见但重要<br>**临床意义**: NTRK融合是泛癌种靶点,疗效卓越",阴性
molecular.ntrk.fusion,分子标记.NTRK.融合类型,String,"NTRK融合类型。<br>**基因**: NTRK1/NTRK2/NTRK3<br>**治疗**: 拉罗替尼(Larotrectinib,ORR 75%)/恩曲替尼(Entrectinib,ORR 57%),疗效持久<br>**建议值**: `NTRK1融合`, `NTRK2融合`, `NTRK3融合`<br>**临床意义**: TRK抑制剂是首个组织无关(tissue-agnostic)靶向药,2018获FDA批准",不适用(NTRK阴性)
molecular.nras.mutation,分子标记.NRAS.突变,String,"NRAS基因突变。<br>**建议值**: `野生型`, `突变型`<br>**频率**: NSCLC <1%,罕见<br>**临床意义**: NRAS突变目前无特效靶向药",野生型
molecular.pik3ca.mutation,分子标记.PIK3CA.突变,String,"PIK3CA基因突变。<br>**建议值**: `野生型`, `突变型`<br>**频率**: NSCLC 1-3%<br>**临床意义**: PIK3CA突变可能导致EGFR-TKI耐药,PI3K抑制剂在研",野生型
molecular.erbb2.amplification,分子标记.ERBB2.扩增,String,"ERBB2(HER2)基因扩增。<br>**建议值**: `无扩增`, `扩增`<br>**检测**: FISH/NGS<br>**临床意义**: HER2扩增可尝试曲妥珠单抗+化疗,但疗效不如HER2突变",无扩增
molecular.tp53.mutation,分子标记.TP53.突变,String,"TP53基因突变。<br>**建议值**: `野生型`, `突变型`<br>**频率**: NSCLC 50-70%(最常见突变)<br>**临床意义**: TP53突变提示预后差,但目前无特效靶向治疗,TP53+EGFR双突变预后差于EGFR单独突变",突变型
molecular.stk11.mutation,分子标记.STK11.突变,String,"STK11(LKB1)基因突变。<br>**建议值**: `野生型`, `突变型`<br>**频率**: NSCLC 10-30%,KRAS突变肺癌中高达30%<br>**临床意义**: STK11突变提示免疫治疗疗效差,KRAS+STK11双突变免疫治疗ORR<5%",野生型
molecular.keap1.mutation,分子标记.KEAP1.突变,String,"KEAP1基因突变。<br>**建议值**: `野生型`, `突变型`<br>**频率**: NSCLC 10-20%<br>**临床意义**: KEAP1突变提示免疫治疗疗效差,与STK11突变类似",野生型
molecular.tmb.value,分子标记.TMB.值,Number,"肿瘤突变负荷(Tumor Mutational Burden),突变数/Mb。<br>**判断标准**:<br>- TMB-L(低): <6 mutations/Mb<br>- TMB-I(中): 6-19 mutations/Mb<br>- TMB-H(高): ≥10或≥20 mutations/Mb(cutoff不统一)<br>**临床意义**: TMB-H患者免疫治疗疗效更好,但非必需,PD-L1仍是首要标志物;吸烟者TMB通常更高",8.5
staging.tnm.cT,分期.TNM.临床T分期,String,"临床T分期(基于影像学)。<br>**AJCC第8版T分期**:<br>- **cTis**: 原位癌<br>- **cT1mi**: 微浸润性腺癌(MIA),≤3cm且浸润灶≤5mm<br>- **cT1a**: ≤1cm<br>- **cT1b**: >1cm-2cm<br>- **cT1c**: >2cm-3cm<br>- **cT2a**: >3cm-4cm,或侵犯脏层胸膜(PL1)、主支气管(但未累及隆突)、肺不张/阻塞性肺炎延及肺门<br>- **cT2b**: >4cm-5cm<br>- **cT3**: >5cm-7cm,或侵犯胸壁/膈神经/壁层心包,或同一肺叶内卫星结节<br>- **cT4**: >7cm,或侵犯纵隔/心脏/大血管/隆突/喉返神经/食管/椎体,或同侧不同肺叶内结节<br>**临床意义**: T分期每增加1cm,预后明显下降;第8版强化肿瘤大小对预后影响",cT2a(3.5cm)
staging.tnm.pT,分期.TNM.病理T分期,String,"病理T分期(基于术后标本)。<br>**建议值同cT分期**<br>**注意事项**:<br>- 病理T分期以浸润性成分大小为准,非整体肿瘤大小<br>- AIS(原位腺癌)无浸润成分,为Tis<br>- MIA(微浸润腺癌)浸润≤5mm,为T1mi<br>- 多发磨玻璃结节:按最大浸润灶分期+后缀(m)表示多发,如T2a(m)<br>- PL分级(胸膜侵犯)影响T分期:PL1为T2a(脏层胸膜侵犯),PL2为T2-3(达脏层胸膜表面),PL3为T3(侵犯壁层胸膜)<br>**临床意义**: pT分期更准确,是预后评估金标准",pT2a(浸润灶3.2cm,PL1)
staging.tnm.cN,分期.TNM.临床N分期,String,"临床N分期(基于影像学/EBUS-TBNA/纵隔镜)。<br>**AJCC第8版N分期**:<br>- **cN0**: 无区域淋巴结转移<br>- **cN1**: 同侧支气管周围淋巴结和/或同侧肺门淋巴结转移,包括肺内淋巴结(IASLC淋巴结图10-14站)<br>- **cN2**: 同侧纵隔淋巴结和/或隆突下淋巴结转移(IASLC 1-9站)<br>- **cN3**: 对侧纵隔/肺门淋巴结,或同侧/对侧斜角肌/锁骨上淋巴结转移<br>**影像学判断**: 短径>1cm提示转移,但需病理证实(PET-CT SUV>2.5提示恶性可能大)<br>**临床意义**: cN2-3为局部晚期,多需新辅助治疗;cN分期准确性60-70%,病理分期更准确",cN2(4R站1.5cm,SUV 4.2)
staging.tnm.pN,分期.TNM.病理N分期,String,"病理N分期(基于淋巴结清扫)。<br>**AJCC第8版N分期**: 同cN分期<br>**第8版提出更精细亚分期(仍在研究)**:<br>- **pN1a**: 单站N1淋巴结转移<br>- **pN1b**: 多站N1淋巴结转移<br>- **pN2a1**: 单站N2淋巴结转移,无N1(跳跃式转移)<br>- **pN2a2**: 单站N2淋巴结转移,伴N1<br>- **pN2b**: 多站N2淋巴结转移<br>**建议值**: `pN0`, `pN1`, `pN2`, `pN3`(可加亚分期如pN2a1)<br>**临床意义**: N分期是最重要的预后因素,pN2 5年生存率30-40%,pN0为60-80%;多站转移比单站预后差",pN2(4R+7站)
staging.tnm.M,分期.TNM.M分期,String,"远处转移分期。<br>**AJCC第8版M分期**:<br>- **M0**: 无远处转移<br>- **M1a**: 对侧肺结节,或胸膜/心包结节,或恶性胸腔/心包积液<br>- **M1b**: 单个胸外器官单个部位转移(如单个脑转移/肾上腺转移)<br>- **M1c**: 单个或多个胸外器官多个部位转移<br>**常见转移部位**: 脑(30-50%)、骨(30-40%)、肝(20-30%)、肾上腺(20%)<br>**建议值**: `M0`, `M1a-对侧肺结节`, `M1a-恶性胸腔积液`, `M1b-单发脑转移`, `M1c-多发转移(脑+骨)`<br>**临床意义**: M1a 5年生存率10%,M1b 5%,M1c <5%;寡转移(M1b单发)可考虑局部治疗+全身治疗",M0
staging.tnm.overall,分期.TNM.总分期,String,"AJCC第8版总分期。<br>**IA期**:<br>- IA1: T1aN0M0(≤1cm),5年生存率92%<br>- IA2: T1bN0M0(>1-2cm),5年生存率83%<br>- IA3: T1cN0M0(>2-3cm),5年生存率77%<br>**IB期**: T2aN0M0(>3-4cm),5年生存率68%<br>**IIA期**: T2bN0M0(>4-5cm),5年生存率60%<br>**IIB期**: T1-2N1M0或T3N0M0(>5-7cm),5年生存率53%<br>**IIIA期**: T1-2N2M0或T3-4N1M0或T4N0M0,5年生存率36%<br>**IIIB期**: T3-4N2M0或T1-2N3M0,5年生存率26%<br>**IIIC期**: T3-4N3M0,5年生存率13%<br>**IVA期**: M1a或M1b,5年生存率10%<br>**IVB期**: M1c,5年生存率<5%<br>**临床意义**: I-II期手术为主,IIIA期新辅助+手术或根治性放化疗,IIIB-IV期全身治疗为主",IIB期(T2bN0M0)
staging.iaslc.lymphNodeMap,分期.IASLC淋巴结图.受累站,String,"IASLC国际淋巴结图受累站点。<br>**纵隔淋巴结(N2)**:<br>- **1站**: 最高纵隔(锁骨上窝以下、胸廓入口以上)<br>- **2R/2L**: 上纵隔旁气管(右/左)<br>- **3a/3p**: 前/后纵隔前(主动脉前/后)<br>- **4R/4L**: 下纵隔旁气管(右/左,奇静脉上缘以下、右主支气管上缘以上)<br>- **5**: 主动脉窗(主动脉弓下、动脉韧带旁)<br>- **6**: 主动脉旁(升主动脉或主动脉弓旁)<br>- **7**: 隆突下<br>- **8**: 食管旁(下)<br>- **9**: 肺韧带<br>**N1淋巴结**:<br>- **10**: 肺门<br>- **11**: 叶间<br>- **12**: 肺叶<br>- **13**: 肺段<br>- **14**: 肺内<br>**建议值**: 如`4R,7`(多站用逗号分隔)<br>**临床意义**: 淋巴结转移站数和位置影响预后,4R站(右下纵隔旁气管)是右肺癌常见转移站,7站(隆突下)是双肺引流汇集站",4R,7
lymphNode.totalNumber,淋巴结.清扫总数,Number,"淋巴结清扫总数。<br>**标准**: NCCN指南推荐至少清扫3个纵隔淋巴结站(包括7站),每站至少1枚,总数≥10枚(包括N1+N2)<br>**临床意义**: 充分淋巴结清扫可准确分期和改善预后,清扫<10枚可能导致分期偏低(stage migration);系统性纵隔淋巴结清扫优于采样",15
lymphNode.positiveNumber,淋巴结.阳性数目,Number,"淋巴结转移阳性数目。<br>**临床意义**: 阳性淋巴结数目是独立预后因素,≥4枚阳性提示预后差,需术后辅助化疗",0
lymphNode.largestPositive,淋巴结.最大阳性淋巴结,String,"最大阳性淋巴结大小和站号。<br>**示例**: `4R站1.8cm`<br>**临床意义**: 淋巴结大小和包膜外侵犯(ENE)影响预后,>3cm或ENE阳性预后更差",无阳性淋巴结
lymphNode.enExtension,淋巴结.包膜外侵犯,String,"淋巴结包膜外侵犯(Extranodal extension,ENE)。<br>**定义**: 肿瘤细胞突破淋巴结被膜,侵犯周围脂肪组织<br>**建议值**: `无`, `有ENE`<br>**临床意义**: ENE是强不良预后因素,提示局部侵袭性强、复发风险高,需加强术后辅助治疗",无
surgery.type,手术.手术方式,String,"手术切除方式。<br>**解剖性切除**:<br>- **楔形切除(Wedge resection)**: 非解剖性局部切除,边缘≥2cm,适用于高危患者或GGN<br>- **肺段切除(Segmentectomy)**: 解剖性亚肺叶切除,切除1个或多个肺段,适用于IA期周围型NSCLC或高危患者,需充分切缘(≥2cm或肿瘤直径)<br>- **肺叶切除(Lobectomy)**: 标准术式,切除整个肺叶+系统性淋巴结清扫,适用于大部分可切除NSCLC<br>- **袖式肺叶切除(Sleeve lobectomy)**: 切除肺叶+部分支气管再吻合,避免全肺切除,适用于中央型肿瘤<br>- **全肺切除(Pneumonectomy)**: 切除整侧肺,适用于中央型晚期肿瘤,围手术期死亡率5-8%<br>**建议值**: `楔形切除`, `肺段切除`, `肺叶切除(标准)`, `袖式肺叶切除`, `全肺切除`<br>**临床意义**: IA期肺段切除与肺叶切除5年生存率相似(JCOG0802/CALGB140503研究),但肺段切除保留更多肺功能;IB期及以上推荐肺叶切除",肺叶切除(右上叶)
surgery.approach,手术.手术入路,String,"手术入路。<br>**VATS(Video-Assisted Thoracoscopic Surgery,胸腔镜)**: 1-4个小切口(单孔/多孔),适用于大部分早中期NSCLC<br>**RATS(Robot-Assisted Thoracic Surgery,机器人辅助)**: da Vinci机器人,3D视野,适用于复杂病例<br>**开胸(Thoracotomy)**: 传统开胸,适用于局部晚期/粘连严重病例<br>**建议值**: `VATS单孔`, `VATS多孔`, `RATS机器人`, `开胸`<br>**临床意义**: VATS vs 开胸:出血少(100 vs 300ml)、引流少、引流时间短(3 vs 5天)、住院短(5 vs 8天)、并发症少、围手术期死亡率低,5年生存率相似(60% vs 58%);中国VATS比例从2003年8%升至2013年30%",VATS多孔
surgery.margin.status,手术.切缘.状态,String,"手术切缘状态。<br>**R0**: 完整切除,切缘阴性(距肿瘤边缘≥1cm为安全,≥2cm为理想)<br>**R1**: 镜下切缘阳性(显微镜下见肿瘤细胞)<br>**R2**: 肉眼切缘阳性(大体残留)<br>**建议值**: `R0-完整切除`, `R1-镜下阳性`, `R2-肉眼残留`<br>**临床意义**: R0切除是根治性手术基础,R1/R2 5年生存率<20%,需术后放疗或再次手术",R0-完整切除
surgery.margin.distance,手术.切缘.距离,String,"手术切缘距离(最近切缘距肿瘤距离)。<br>**标准**:<br>- 理想:≥2cm或≥肿瘤直径<br>- 安全:≥1cm<br>- 不足:<1cm,局部复发风险增加<br>**示例**: `支气管切缘2.5cm,肺实质切缘3.0cm`<br>**临床意义**: 肺段切除需≥2cm或≥肿瘤直径,否则局部复发率从5%升至15-20%;支气管切缘和肺实质切缘均需评估",支气管切缘2.5cm,肺实质切缘3.0cm
surgery.lymphNodeDissection,手术.淋巴结清扫方式,String,"淋巴结清扫方式。<br>**系统性纵隔淋巴结清扫(MLND)**: 完整切除≥3个纵隔淋巴结站(包括7站)+同侧肺门/肺内淋巴结,推荐标准术式<br>**淋巴结采样(sampling)**: 仅切除可疑肿大淋巴结,不推荐用于根治性手术<br>**建议值**: `系统性纵隔淋巴结清扫(MLND)`, `淋巴结采样`, `未清扫(楔形切除)`<br>**清扫站数要求**:<br>- 右肺:2R,4R,7,8,9,10R,11R(至少3个纵隔站)<br>- 左肺:4L,5,6,7,8,9,10L,11L(至少3个纵隔站)<br>**临床意义**: MLND可提高5年生存率5-10%(相比采样),准确分期,指导辅助治疗",系统性纵隔淋巴结清扫(MLND)
surgery.complications,手术.并发症,String,"术后并发症。<br>**常见并发症**:<br>- **持续漏气(Air leak)**: >5天,发生率15-20%,肺气肿患者更高<br>- **肺不张**: 5-10%<br>- **肺炎**: 5-10%<br>- **心律失常(房颤)**: 10-20%,多见于全肺切除<br>- **支气管胸膜瘘**: 1-3%,全肺切除后更常见(5%),高危并发症<br>- **乳糜胸**: 1-2%<br>- **肺栓塞**: 1-2%<br>**建议值**: `无`, `持续漏气`, `肺不张`, `肺炎`, `房颤`, `支气管胸膜瘘`, `乳糜胸`, `肺栓塞`, `其他`<br>**临床意义**: VATS并发症率20-25% vs 开胸30-35%;全肺切除围手术期死亡率5-8%",无
treatment.neoadjuvant,治疗.新辅助治疗,String,"新辅助治疗(术前治疗)。<br>**适应症**: 可切除IIIA期(T3-4N1M0,T1-2N2M0),部分IIB期<br>**方案选择**:<br>- **新辅助化疗**: 2-4周期铂类双药(顺铂+培美曲塞/吉西他滨/紫杉醇),ORR 30-60%,病理缓解率<10%<br>- **新辅助免疫+化疗**: PD-1/PD-L1抑制剂+铂类双药<br>  - CheckMate 816: 纳武利尤单抗+化疗,病理完全缓解(pCR)24% vs 化疗2.2%,EFS 31.6月 vs 20.8月<br>  - KEYNOTE-671: 帕博利珠单抗+化疗,pCR 18.1% vs 4.0%,EFS HR 0.58<br>  - 信迪利单抗+化疗(中国研究),pCR 24.8%<br>**建议值**: `未行新辅助`, `新辅助化疗-铂类双药`, `新辅助免疫+化疗-纳武利尤单抗`, `新辅助免疫+化疗-帕博利珠单抗`, `新辅助免疫+化疗-信迪利单抗`, `新辅助放化疗(IIIB期)`<br>**临床意义**: 新辅助免疫+化疗成为可切除IIIA期新标准,pCR患者5年生存率>80%",未行新辅助
treatment.adjuvant.chemo,治疗.辅助化疗,String,"术后辅助化疗。<br>**适应症**: IB期(≥4cm,高危因素),II-IIIA期完全切除<br>**方案**: 4周期铂类双药<br>- **非鳞癌**: 顺铂/卡铂+培美曲塞(首选,JMDB研究),或+吉西他滨/长春瑞滨<br>- **鳞癌**: 顺铂/卡铂+吉西他滨/长春瑞滨/紫杉醇(不用培美曲塞)<br>**建议值**: `未行辅助化疗`, `顺铂+培美曲塞(AP)`, `卡铂+培美曲塞`, `顺铂+吉西他滨(GP)`, `卡铂+紫杉醇(TP)`, `其他铂类双药`<br>**临床意义**: LACE荟萃分析显示辅助化疗使IB-IIIA期5年生存率绝对获益5.4%(HR 0.89);II-IIIA期必须辅助化疗,IB期≥4cm或有高危因素(低分化/脉管侵犯/脏层胸膜侵犯)推荐辅助化疗",顺铂+培美曲塞(4周期)
treatment.adjuvant.immuno,治疗.辅助免疫治疗,String,"术后辅助免疫治疗。<br>**适应症**: IB-IIIA期完全切除,PD-L1≥1%<br>**方案**:<br>- **阿替利珠单抗(Atezolizumab)**: IMpower010研究,II-IIIA期PD-L1≥1%患者,辅助阿替利珠单抗1年,DFS HR 0.66(vs观察),PD-L1≥50%患者DFS HR 0.43<br>- **帕博利珠单抗(Pembrolizumab)**: KEYNOTE-091研究,IB-IIIA期,DFS改善不显著(HR 0.76)<br>**建议值**: `未行辅助免疫`, `阿替利珠单抗1年(PD-L1≥1%)`, `帕博利珠单抗1年`<br>**临床意义**: 2021 FDA批准阿替利珠单抗用于IB(≥4cm)-IIIA期PD-L1≥1%患者辅助治疗,为首个获批辅助免疫治疗;PD-L1≥50%患者获益最显著",未行辅助免疫
treatment.targeted.egfr,治疗.靶向治疗.EGFR-TKI,String,"EGFR-TKI靶向治疗。<br>**适应症**: EGFR敏感突变(19del/L858R)晚期NSCLC,或辅助治疗(ADAURA研究)<br>**一代TKI**:<br>- 吉非替尼(Gefitinib): 250mg qd,ORR 70-80%,PFS 9-13月,OS 27-30月<br>- 厄洛替尼(Erlotinib): 150mg qd<br>- 埃克替尼(Icotinib,国产): 125mg tid<br>**二代TKI**:<br>- 阿法替尼(Afatinib): 40mg qd,对19del疗效优于一代(PFS 13.7月),L858R疗效相似<br>- 达可替尼(Dacomitinib): 45mg qd,PFS 14.7月 vs 吉非替尼9.2月<br>**三代TKI**:<br>- **奥希替尼(Osimertinib)**: 80mg qd,一线治疗PFS 18.9月 vs 一代10.2月,OS 38.6月 vs 31.8月;T790M耐药后ORR 61%,PFS 10.1月;ADAURA研究辅助治疗DFS HR 0.20<br>- 阿美替尼(Almonertinib,国产): 110mg qd,一线PFS 19.3月<br>- 伏美替尼(Furmonertinib,国产)<br>**建议值**: `未用`, `吉非替尼`, `厄洛替尼`, `阿法替尼`, `达可替尼`, `奥希替尼(一线)`, `奥希替尼(T790M耐药)`, `阿美替尼`, `伏美替尼`<br>**临床意义**: 三代TKI奥希替尼已成为EGFR突变一线标准,中位PFS 18.9月,中位OS 38.6月,脑转移疗效优于一代;ADAURA研究显示辅助奥希替尼使IB-IIIA期EGFR突变患者3年DFS从44%升至89%,2021获FDA批准辅助适应症",奥希替尼80mg qd(一线)
treatment.targeted.alk,治疗.靶向治疗.ALK-TKI,String,"ALK-TKI靶向治疗。<br>**适应症**: ALK融合阳性晚期NSCLC<br>**一代TKI**:<br>- 克唑替尼(Crizotinib): 250mg bid,ORR 74%,PFS 10.9月,脑转移控制差(CNS PFS 7月)<br>**二代TKI(推荐一线)**:<br>- **阿来替尼(Alectinib)**: 600mg bid,一线PFS 34.8月 vs 克唑替尼10.9月,5年OS 62.5%,脑转移控制优秀(CNS ORR 81%)<br>- **布加替尼(Brigatinib)**: 180mg qd,一线PFS 24.0月 vs 克唑替尼11.0月,脑转移ORR 78%<br>- 塞瑞替尼(Ceritinib): 750mg qd,PFS 16.6月<br>- 恩沙替尼(Ensartinib,国产): 225mg qd,PFS 25.8月<br>**三代TKI**:<br>- **洛拉替尼(Lorlatinib)**: 100mg qd,一线PFS 未达到 vs 克唑替尼9.1月,克服所有ALK耐药突变(包括G1202R),脑转移IC ORR 82%<br>**建议值**: `未用`, `克唑替尼`, `阿来替尼(一线推荐)`, `布加替尼`, `塞瑞替尼`, `恩沙替尼`, `洛拉替尼(一线/耐药)`<br>**临床意义**: 二代ALK-TKI(阿来替尼/布加替尼)已成为一线标准,优于克唑替尼,脑转移控制显著优于一代;三代洛拉替尼克服所有耐药突变,2021获FDA批准一线适应症",阿来替尼600mg bid(一线)
treatment.targeted.others,治疗.靶向治疗.其他靶点,String,"其他驱动基因靶向治疗。<br>**ROS1抑制剂**:<br>- 克唑替尼: PFS 15.9月<br>- **恩曲替尼(Entrectinib)**: 600mg qd,ORR 77%,PFS 15.7月,脑转移ORR 55%,推荐一线<br>**BRAF抑制剂(V600E)**:<br>- 达拉非尼(Dabrafenib)+曲美替尼(Trametinib): ORR 64%,PFS 10.9月<br>**KRAS G12C抑制剂**:<br>- 索托拉西布(Sotorasib): 960mg qd,ORR 37.1%,PFS 6.8月<br>- 阿达格拉西布(Adagrasib): 600mg bid,ORR 42.9%,PFS 6.5月<br>**MET抑制剂(Ex14 skipping)**:<br>- **卡马替尼(Capmatinib)**: 400mg bid,ORR 68%,PFS 12.5月<br>- **特泊替尼(Tepotinib)**: 500mg qd,ORR 46%,PFS 8.5月<br>**RET抑制剂**:<br>- **塞尔帕替尼(Selpercatinib)**: 160mg bid,ORR 64%,PFS 16.5月<br>- 普拉替尼(Pralsetinib): 400mg qd,ORR 61%<br>**HER2抑制剂(Ex20 ins)**:<br>- T-DM1,吡咯替尼(Pyrotinib)<br>**NTRK抑制剂**:<br>- **拉罗替尼(Larotrectinib)**: 100mg bid,ORR 75%,疗效持久(中位DoR 49.3月)<br>- 恩曲替尼: ORR 57%<br>**建议值**: `未用`, `恩曲替尼(ROS1/NTRK)`, `达拉非尼+曲美替尼(BRAF)`, `索托拉西布(KRAS G12C)`, `卡马替尼(MET Ex14)`, `塞尔帕替尼(RET)`, `拉罗替尼(NTRK)`<br>**临床意义**: 2018-2021年驱动基因靶向治疗迅速发展,NTRK/RET/MET/KRAS G12C抑制剂相继获批,罕见突变患者迎来精准治疗时代",未用
treatment.immunotherapy.monotherapy,治疗.免疫治疗.单药,String,"PD-1/PD-L1抑制剂单药治疗。<br>**一线单药适应症**: PD-L1 TPS≥50%,无EGFR/ALK突变的晚期NSCLC<br>**PD-1抑制剂**:<br>- **帕博利珠单抗(Pembrolizumab)**: 200mg Q3W,KEYNOTE-024研究(TPS≥50%)PFS 10.3月 vs 化疗6.0月,OS 30.0月 vs 14.2月,ORR 44.8%<br>- **纳武利尤单抗(Nivolumab)**: 240mg Q2W或480mg Q4W,二线治疗(vs多西他赛)OS 12.2月 vs 9.4月<br>- 信迪利单抗(Sintilimab,国产): 200mg Q3W<br>- 卡瑞利珠单抗(Camrelizumab,国产): 200mg Q3W<br>- 替雷利珠单抗(Tislelizumab,国产): 200mg Q3W<br>**PD-L1抑制剂**:<br>- 阿替利珠单抗(Atezolizumab): 1200mg Q3W<br>- 度伐利尤单抗(Durvalumab): 10mg/kg Q2W或1500mg Q4W,PACIFIC研究用于III期不可切除NSCLC同步放化疗后巩固治疗,PFS 16.8月 vs 5.6月<br>**建议值**: `未用`, `帕博利珠单抗(一线TPS≥50%)`, `纳武利尤单抗(二线)`, `信迪利单抗`, `卡瑞利珠单抗`, `替雷利珠单抗`, `阿替利珠单抗`, `度伐利尤单抗(III期巩固)`<br>**临床意义**: PD-L1 TPS≥50%患者一线帕博利珠单抗单药优于化疗,5年OS 31.9%;度伐利尤单抗巩固治疗使III期不可切除NSCLC 5年OS从33%升至43%",帕博利珠单抗200mg Q3W
treatment.immunotherapy.combination,治疗.免疫+化疗联合,String,"免疫治疗+化疗联合方案。<br>**一线适应症**: 无EGFR/ALK突变晚期NSCLC,PD-L1任何表达<br>**非鳞癌方案**:<br>- **帕博利珠单抗+培美曲塞+铂类**: KEYNOTE-189研究,PFS 8.8月 vs 化疗4.9月,OS 22.0月 vs 10.7月,ORR 47.6%<br>- **阿替利珠单抗+贝伐珠单抗+培美曲塞+卡铂(ABCP)**: IMpower150研究,PFS 8.3月,OS 19.2月,肝转移亚组获益显著<br>- 信迪利单抗+培美曲塞+铂类: ORIENT-11研究,PFS 8.9月 vs 5.0月<br>- 卡瑞利珠单抗+培美曲塞+铂类: CameL研究,PFS 11.3月 vs 8.3月<br>**鳞癌方案**:<br>- **帕博利珠单抗+紫杉醇/白蛋白紫杉醇+铂类**: KEYNOTE-407研究,PFS 6.4月 vs 4.8月,OS 17.1月 vs 11.6月<br>- 纳武利尤单抗+紫杉醇+卡铂<br>- 信迪利单抗+吉西他滨+铂类: ORIENT-12研究,PFS 5.5月 vs 4.9月<br>**建议值**: `未用`, `帕博利珠单抗+培美曲塞+铂类(非鳞)`, `阿替利珠单抗+贝伐+培美+卡铂(非鳞)`, `信迪利单抗+培美+铂(非鳞)`, `卡瑞利珠单抗+培美+铂(非鳞)`, `帕博利珠单抗+紫杉醇+铂类(鳞癌)`, `信迪利单抗+吉西他滨+铂(鳞癌)`<br>**临床意义**: 免疫+化疗联合已成为驱动基因阴性晚期NSCLC一线标准,PD-L1<1%患者必须联合化疗;Meta分析显示信迪利单抗联合化疗OS获益最多",帕博利珠单抗+培美曲塞+顺铂
