字段路径,中文名称,数据类型,说明,示例值
riskStratification.nccn,风险分层.NCCN分层,String,"NCCN风险分层(2024,五分法)。<br>**极低危**: T1c + Gleason 3+3(GG1) + PSA<10 + 阳性针数<3 + 单针癌<50%<br>**低危**: T1-2a + GG1 + PSA<10<br>**中危**: T2b-2c 或 GG2-3 或 PSA 10-20<br>  - 中低危(favorable): GG1-2 + <50%阳性针数 + 单一中危因素<br>  - 中高危(unfavorable): GG3 或 ≥50%阳性针数 或 多个中危因素<br>**高危**: T3a 或 GG4-5 或 PSA>20<br>**极高危**: T3b-4 或 原发Gleason 5>50% 或 >4个高危因素 或 ≥2个高危因素+GG5<br>**临床意义**: NCCN分层更精细,指导个体化治疗决策",中高危
riskStratification.capra,风险分层.CAPRA评分,Number,"CAPRA评分(Cancer of the Prostate Risk Assessment,0-10分)。<br>**评分项目**:<br>- 年龄: <50岁(0分),≥50岁(1分)<br>- PSA: <6(0),6-10(1),10-20(2),20-30(3),>30(4)<br>- Gleason: 2-6(0),3+4(1),4+3(2),8-10(3)<br>- 临床分期: T1/T2(0),T3(1)<br>- 阳性针比例: <34%(0),≥34%(1)<br>**风险分组**: 0-2(低),3-5(中),6-10(高)<br>**临床意义**: CAPRA评分预测生化复发、转移、前列腺癌死亡,可用于主动监测选择",4分(中危)
treatment.surgery.type,治疗.手术.术式,String,"手术类型(仅根治术标本适用)。<br>**建议值**: `未行手术`, `开放根治性前列腺切除术(ORP)`, `腹腔镜根治性前列腺切除术(LRP)`, `机器人辅助腹腔镜前列腺切除术(RALP)`, `经尿道前列腺电切术(TURP)`<br>**临床意义**: RALP已成为主流术式,保留神经血管束可改善术后功能",未行手术(仅穿刺)
treatment.surgery.neurovascularBundle,治疗.手术.神经血管束保留,String,"神经血管束(NVB)保留情况。<br>**建议值**: `双侧保留`, `左侧保留`, `右侧保留`, `双侧切除`, `不适用`<br>**临床意义**: NVB保留改善术后勃起功能,但pT3a患者保留可能增加切缘阳性风险",不适用
treatment.surgery.lymphadenectomy,治疗.手术.淋巴结清扫,String,"盆腔淋巴结清扫范围。<br>**建议值**: `未行淋巴结清扫`, `有限盆腔淋巴结清扫(闭孔)`, `扩大盆腔淋巴结清扫(闭孔+髂内外+髂总)`<br>**清扫指征**: D'Amico中高危、Gleason≥7、PSA>10、淋巴结转移风险>5%(Roach公式或Briganti列线图)<br>**临床意义**: 扩大清扫可提高分期准确性,可能改善预后",未行清扫
resectionMargin.status,切缘.状态,String,"手术切缘状态(仅根治术标本)。<br>**R0**: 切缘阴性<br>**R1**: 切缘阳性(肿瘤达到切缘)<br>**R2**: 肉眼残留<br>**临床意义**: 切缘阳性是术后生化复发的独立危险因素,R1患者复发风险增加2-3倍",仅穿刺标本无法评估
resectionMargin.location,切缘.阳性部位,String,"切缘阳性部位。<br>**常见部位**: 尖部(最常见,50%)、后外侧、基底部、膀胱颈<br>**建议值**: `阴性`, `尖部`, `后外侧`, `基底部`, `膀胱颈`, `多部位`",仅穿刺标本无法评估
resectionMargin.length,切缘.阳性长度,String,"切缘阳性累及长度(mm)。<br>**预后意义**: 局灶阳性(<3mm)vs 广泛阳性(≥3mm),广泛阳性复发风险更高",仅穿刺标本无法评估
lymphNode.totalNumber,淋巴结.清扫总数,Number,"清扫淋巴结总数。<br>**质量标准**: 有限清扫≥6枚,扩大清扫≥10-15枚<br>**临床意义**: 清扫数量影响分期准确性",0
lymphNode.positiveNumber,淋巴结.阳性数量,Number,"转移淋巴结数量。<br>**临床意义**: 阳性淋巴结数量是独立预后因素,≥2枚阳性预后更差",0
lymphNode.largestMetastasis,淋巴结.最大转移灶,Number,"最大淋巴结转移灶直径(mm)。<br>**临床意义**: 转移灶大小与预后相关,微转移(<2mm)vs 大转移灶",0
lymphNode.extracapsular,淋巴结.包膜外侵犯,Boolean,"淋巴结包膜外侵犯(Extracapsular extension of lymph node)。<br>**临床意义**: 淋巴结包膜外侵犯提示更差预后,是辅助放疗指征",false
prognosis.biochemicalRecurrence,预后.生化复发,String,"生化复发(Biochemical Recurrence, BCR)定义和风险。<br>**BCR定义**:<br>- 根治术后: PSA≥0.2 ng/mL且再次检测确认<br>- 放疗后: PSA最低值+2 ng/mL(Phoenix标准)<br>**BCR风险预测**: 根据Gleason、pT分期、切缘状态、PSA等综合评估<br>**建议值**: `低风险(<30%)`, `中风险(30-50%)`, `高风险(>50%)`",根据最终病理评估
prognosis.metastasisRisk,预后.转移风险,String,"远处转移风险评估。<br>**高危因素**: Gleason 8-10、pT3b、pN1、切缘阳性、术后PSA不降<br>**建议值**: `低风险`, `中风险`, `高风险`",根据最终病理评估
prognosis.mortalityRisk,预后.前列腺癌死亡风险,String,"前列腺癌特异性死亡风险。<br>**10年CSS(癌症特异性生存)**:<br>- GG1: >98%<br>- GG2: 95%<br>- GG3: 88%<br>- GG4: 70%<br>- GG5: 50%<br>**建议值**: `极低风险`, `低风险`, `中风险`, `高风险`",根据最终病理评估
prognosis.nomogram,预后.列线图,String,"使用的预后列线图工具。<br>**常用列线图**:<br>- **Kattan术后列线图**: 预测术后5/10年无复发概率<br>- **CAPRA-S**: 预测术后复发、转移、死亡<br>- **Stephenson术后列线图**: 预测BCR后转移概率<br>**建议值**: 列线图名称+预测的复发/转移概率",未使用列线图
followUp.psa.nadir,随访.PSA.最低值,Number,"根治术后PSA最低值(ng/mL)。<br>**理想值**: <0.1 ng/mL,最好<0.05(检测不到)<br>**临床意义**: 术后PSA未达到检测不到或缓慢下降提示残留病灶",仅穿刺标本,未术后随访
followUp.psa.timeToNadir,随访.PSA.达最低值时间,Number,"术后达到PSA最低值的时间(周)。<br>**正常范围**: 通常术后6-12周<br>**临床意义**: 延迟达最低值(>12周)可能提示残留",仅穿刺标本,未术后随访
followUp.adjuvantTherapy,随访.辅助治疗,String,"术后辅助治疗。<br>**辅助放疗指征**: pT3、切缘阳性、Gleason 8-10、淋巴结阳性<br>**辅助ADT指征**: pN1、高危BCR<br>**建议值**: `未行辅助治疗`, `辅助放疗(盆腔±前列腺床)`, `辅助内分泌治疗(ADT)`, `辅助放疗+ADT`, `挽救性放疗`, `观察等待`",根据最终病理决定
remarks,备注,String,其他备注信息,左叶穿刺2/6针阳性;右叶穿刺3/6针阳性;建议完善分期检查后决定治疗方案
