fieldKey,fieldName,fieldType,fieldDescription,exampleValue
staging.tnm.M,分期.TNM.M分期,String,"远处转移分期。<br>**M0**: 无远处转移<br>**M1**: 远处转移,包括:<br>- 远处淋巴结(胰头后/肠系膜/腹主动脉旁/锁骨上)<br>- 腹膜转移/腹水细胞学阳性<br>- 肝/肺/骨/脑等脏器转移<br>- 卵巢转移(Krukenberg瘤)<br>**临床意义**: M1为IV期,中位生存期10-14个月,需全身治疗",M0
staging.tnm.overall,分期.TNM.总体分期,String,"AJCC第8版总体分期。<br>**0期**: Tis,N0,M0<br>**IA期**: T1,N0,M0<br>**IB期**: T1,N1或T2,N0<br>**IIA期**: T1,N2-3a或T2,N1或T3,N0<br>**IIB期**: T1,N3b或T2,N2或T3,N1或T4a,N0<br>**IIIA期**: T2,N3a-b或T3,N2或T4a,N1-2<br>**IIIB期**: T3,N3a或T4a,N3a或T4b,N0-1<br>**IIIC期**: T3,N3b或T4a,N3b或T4b,N2-3<br>**IV期**: 任何T/N,M1<br>**临床意义**: 分期决定治疗策略,I期内镜或手术,II-III期手术+围手术期化疗,IV期姑息性全身治疗",IIA期
staging.jgca.lymphNodeStations,分期.JGCA.淋巴结分站,String,"日本胃癌学会(JGCA)淋巴结分站(16站)。<br>**1站**: 贲门右侧<br>**2站**: 贲门左侧<br>**3站**: 胃小弯<br>**4站**: 胃大弯<br>**5站**: 幽门上<br>**6站**: 幽门下<br>**7站**: 胃左动脉<br>**8站**: 肝总动脉<br>**9站**: 腹腔干<br>**10站**: 脾门<br>**11站**: 脾动脉<br>**12站**: 肝十二指肠韧带<br>**13站**: 胰头后<br>**14站**: 肠系膜上动脉<br>**15站**: 结肠中动脉<br>**16站**: 腹主动脉旁<br>**临床意义**: D2清扫需清除1-7站+8-11站(根据肿瘤位置),D2+清扫包括12-14站",清扫1-7站+8a-9站(D2)
staging.jgca.nValue,分期.JGCA.N值,Number,"JGCA分期的N值(阳性淋巴结数/清扫淋巴结总数)。<br>**临床意义**: N值>0.2提示预后差",0.12(4/33)
lymphNode.totalDissected,淋巴结.清扫总数,Number,"清扫淋巴结总数。<br>**D1清扫**: 1-7站,≥15枚<br>**D2清扫**: 1-11站,≥16枚(NCCN/CSCO推荐)<br>**D2+清扫**: 1-14站,≥25枚<br>**临床意义**: 清扫数量影响分期准确性和预后,≥16枚是质量标准",33
lymphNode.positiveNumber,淋巴结.阳性数量,Number,"转移淋巴结数量。<br>**临床意义**: 阳性数量是最强预后因素,每增加1枚阳性淋巴结,死亡风险增加5-10%",4
lymphNode.positiveRatio,淋巴结.阳性比例,Number,"淋巴结转移率(LNR) = 阳性数/清扫数。<br>**预后分层**:<br>- LNR<0.1: 预后好<br>- LNR 0.1-0.25: 中等<br>- LNR>0.25: 预后差<br>**临床意义**: LNR是独立预后因素,优于绝对阳性数",0.12
lymphNode.largestMetastasis,淋巴结.最大转移灶,Number,"最大淋巴结转移灶直径(mm)。<br>**临床意义**: >3cm的大块淋巴结转移预后极差",8
lymphNode.extracapsular,淋巴结.包膜外侵犯,Boolean,"淋巴结包膜外侵犯(Extranodal extension, ENE)。<br>**定义**: 肿瘤突破淋巴结包膜侵入周围组织<br>**临床意义**: ENE提示局部侵袭性强,复发风险高,可能是术后放疗指征",false
lymphNode.micrometastasis,淋巴结.微转移,String,"淋巴结微转移(<2mm)或孤立肿瘤细胞(ITC,<0.2mm)。<br>**检测方法**: 常规HE、连续切片、免疫组化(CK/EpCAM)<br>**建议值**: `无`, `微转移(0.2-2mm)`, `孤立肿瘤细胞ITC(<0.2mm)`<br>**临床意义**: 微转移和ITC预后意义尚有争议,AJCC第8版pN0(i+)记录ITC但不改变分期",无
lymphNode.stationDetails,淋巴结.分站详情,String,"各站淋巴结转移详情(阳性/清扫)。<br>**示例**: 3站(2/5),7站(1/3),8a站(1/4)<br>**临床意义**: 16站(腹主动脉旁)阳性属M1,不可治愈","3站(2/6),4d站(1/5),7站(1/8),8a站(0/4),9站(0/6),其余站(0/4)"
resectionMargin.status,切缘.状态,String,"手术切缘状态。<br>**R0**: 切缘阴性(镜下无肿瘤)<br>**R1**: 切缘阳性(镜下有肿瘤)<br>**R2**: 肉眼残留<br>**临床意义**: R0是治愈性切除的前提,R1/R2患者5年生存率<15%",R0
resectionMargin.proximal,切缘.近端切缘,Number,"近端切缘距离(cm)。<br>**安全距离**:<br>- 早期胃癌(T1): ≥2cm<br>- 进展期肠型: ≥3cm<br>- 进展期弥漫型: ≥5-6cm(黏膜下弥漫浸润)<br>**临床意义**: 弥漫型/印戒细胞癌需更大切缘,黏膜下蔓延可超过肉眼边界5cm",4.5
resectionMargin.distal,切缘.远端切缘,Number,"远端切缘距离(cm)。<br>**安全距离**: 早期≥2cm,进展期≥3-5cm<br>**临床意义**: 远端切缘>2cm可显著改善pN0-2患者预后",6.0
resectionMargin.proximalStatus,切缘.近端状态,String,"近端切缘组织学状态。<br>**建议值**: `阴性`, `阳性-肿瘤直接侵犯`, `阳性-跳跃性病灶`, `切缘炎症/肠化生`<br>**临床意义**: 切缘阳性是R1切除,需再次手术或放疗",阴性
resectionMargin.distal.status,切缘.远端状态,String,"远端切缘组织学状态。<br>**建议值**: `阴性`, `阳性-肿瘤直接侵犯`, `阳性-跳跃性病灶`",阴性
resectionMargin.radial,切缘.环周切缘,String,"环周切缘(仅全胃/近端胃切除)。<br>**定义**: 胃周脂肪组织切缘<br>**建议值**: `阴性(>1mm)`, `接近(<1mm)`, `阳性(肿瘤达切缘)`<br>**临床意义**: 环周切缘阳性提示局部复发风险高",阴性
peritonealCytology,腹腔冲洗细胞学,String,"腹腔冲洗液细胞学检查(Peritoneal lavage cytology)。<br>**方法**: 开腹后抽取腹腔液或冲洗液100-200ml离心涂片<br>**建议值**: `未做`, `阴性(CY0)`, `阳性(CY1)-发现癌细胞`, `可疑`<br>**临床意义**: CY1属于M1即IV期,即使无肉眼腹膜转移,中位生存期仅15个月,不推荐根治术",阴性(CY0)
peritonealMetastasis.present,腹膜转移.存在,Boolean,"是否存在腹膜种植转移。<br>**临床意义**: 腹膜转移是胃癌最常见转移方式(40-50%),预后差",false
peritonealMetastasis.pci,腹膜转移.PCI评分,Number,"腹膜癌指数(Peritoneal Cancer Index,0-39分)。<br>**方法**: 将腹腔分为13个区域,每个区域病灶大小评分0-3分<br>**建议值**: 0-39分<br>**临床意义**: PCI<6可考虑减瘤术+HIPEC,PCI>20预后极差",0
peritonealMetastasis.ascites,腹膜转移.腹水,String,"恶性腹水。<br>**建议值**: `无`, `少量(<100ml)`, `中量(100-1000ml)`, `大量(>1000ml)`<br>**临床意义**: 恶性腹水伴CY1提示广泛腹膜种植",无
distantMetastasis.liver,远处转移.肝转移,String,"肝转移。<br>**建议值**: `无`, `单发转移灶`, `≤3个转移灶(寡转移)`, `多发转移(>3个)`, `弥漫性肝转移`<br>**临床意义**: 寡转移可考虑转化治疗后手术,弥漫性肝转移仅姑息治疗",无
distantMetastasis.lung,远处转移.肺转移,String,"肺转移。<br>**建议值**: `无`, `单发结节`, `多发结节`, `淋巴管癌栓`, `胸腔积液`<br>**临床意义**: 胃癌肺转移较少见(10-15%),多为晚期表现",无
distantMetastasis.bone,远处转移.骨转移,String,"骨转移。<br>**建议值**: `无`, `单发骨转移`, `多发骨转移`, `病理性骨折`<br>**临床意义**: 骨转移少见(<5%),提示预后极差",无
distantMetastasis.krukenberg,远处转移.Krukenberg瘤,String,"卵巢Krukenberg瘤(女性)。<br>**定义**: 胃癌卵巢转移,双侧卵巢肿大,组织学为印戒细胞癌<br>**建议值**: `无`, `单侧卵巢转移`, `双侧卵巢转移(典型Krukenberg瘤)`<br>**发生率**: 胃癌女性患者5-10%,印戒细胞癌更高(15-20%)<br>**临床意义**: Krukenberg瘤中位生存期7-14个月,40-50岁女性多见",无
distantMetastasis.brain,远处转移.脑转移,String,"脑转移。<br>**建议值**: `无`, `单发脑转移`, `多发脑转移`, `脑膜转移`<br>**临床意义**: 极罕见(<1%),出现时通常为终末期",无
surgery.type,手术.术式,String,"手术类型。<br>**建议值**:<br>- `远端胃大部切除术(Distal gastrectomy)`: 远端1/2-2/3胃切除,适用于胃窦/胃体下部癌<br>- `近端胃切除术(Proximal gastrectomy)`: 近端胃切除,适用于贲门/胃底癌<br>- `全胃切除术(Total gastrectomy)`: 全胃切除,适用于胃体中上部/Borrmann IV型<br>- `内镜黏膜下剥离术(ESD)`: 适用于早期胃癌<br>- `内镜黏膜切除术(EMR)`: 适用于cT1a病变<br>- `姑息性胃切除`: 减瘤/解除梗阻<br>- `探查活检(无切除)`: IV期不可切除<br>**临床意义**: 术式选择影响预后和生活质量,全胃切除并发症高于远端胃切除",远端胃大部切除术
surgery.approach,手术.入路,String,"手术入路。<br>**建议值**: `开腹手术`, `腹腔镜手术`, `机器人辅助腹腔镜手术`, `内镜手术(ESD/EMR)`<br>**临床意义**: 腹腔镜手术创伤小恢复快,但学习曲线长,对T4b或肥胖患者可能困难",腹腔镜手术
surgery.reconstruction,手术.消化道重建,String,"消化道重建方式。<br>**远端胃切除**: Billroth I(胃十二指肠吻合)、Billroth II(胃空肠吻合)、Roux-en-Y<br>**全胃切除**: Roux-en-Y食管空肠吻合、P-pouch重建<br>**建议值**: `Billroth I`, `Billroth II`, `Roux-en-Y`, `P-pouch`, `双通道重建`, `其他`<br>**临床意义**: Roux-en-Y可减少胆汁反流,是最常用重建方式",Roux-en-Y
surgery.lymphadenectomy,手术.淋巴结清扫范围,String,"淋巴结清扫范围。<br>**D1清扫**: 1-7站(胃周淋巴结)<br>**D1+清扫**: D1+部分第2站(7/8a/9站)<br>**D2清扫**: 1-11站(标准根治术,NCCN/CSCO推荐)<br>**D2+清扫**: D2+12-14站(扩大清扫,争议中)<br>**建议值**: `D1清扫(早期癌)`, `D1+清扫`, `D2清扫(标准)`, `D2+清扫`, `姑息性清扫`<br>**临床意义**: D2清扫是进展期胃癌标准术式,相比D1可提高5年生存率10-15%",D2清扫
surgery.splenectomy,手术.脾切除,String,"是否行脾切除。<br>**建议值**: `保留脾脏`, `脾切除(肿瘤侵犯)`, `脾切除(医源性损伤)`, `脾切除(10/11站清扫)`<br>**临床意义**: 预防性脾切除不改善预后,反而增加感染风险,仅在肿瘤直接侵犯脾脏或脾门淋巴结时切除",保留脾脏
surgery.combinedResection,手术.联合脏器切除,String,"联合切除的邻近器官(T4b)。<br>**建议值**: `无`, `横结肠部分切除`, `胰体尾切除`, `左肝切除`, `膈肌切除`, `脾脏切除`, `多器官联合切除`<br>**临床意义**: T4b联合脏器切除术后并发症率高,但R0切除仍可改善预后",无
surgery.operationTime,手术.手术时间,Number,"手术时间(分钟)。<br>**参考时间**: 开腹D2根治术180-240分钟,腹腔镜240-300分钟<br>**临床意义**: 手术时间过长(>5小时)增加并发症风险",210
surgery.bloodLoss,手术.术中出血量,Number,"术中出血量(ml)。<br>**参考范围**: 腹腔镜手术<200ml,开腹手术<400ml<br>**临床意义**: 大出血(>1000ml)是术后并发症独立危险因素",180
surgery.transfusion,手术.输血,String,"术中/术后输血。<br>**建议值**: `未输血`, `输红细胞<2U`, `输红细胞2-4U`, `输红细胞>4U`, `输血浆/血小板`<br>**临床意义**: 围手术期输血与预后差、复发率高相关(免疫抑制)",未输血
complications.intraoperative,并发症.术中并发症,String,"术中并发症。<br>**建议值**: `无`, `大出血`, `脾损伤`, `胰腺损伤`, `肠管损伤`, `血管损伤`, `其他`<br>**临床意义**: 术中并发症增加术后恢复时间",无
complications.postoperative,并发症.术后并发症,String,"术后并发症(Clavien-Dindo分级)。<br>**建议值**:<br>- `无(Grade 0)`<br>- `I级(轻微,无需处理)`: 伤口感染、发热<br>- `II级(需药物治疗)`: 肺炎、尿路感染<br>- `IIIa(需介入治疗)`: 腹腔脓肿穿刺引流<br>- `IIIb(需再次手术)`: 吻合口瘘、腹腔出血<br>- `IV级(危及生命)`: 多器官功能衰竭<br>- `V级(死亡)`<br>**临床意义**: III级以上并发症发生率15-20%,影响辅助治疗开始时间",II级(肺部感染,抗生素治愈)
complications.anastomoticLeakage,并发症.吻合口瘘,String,"吻合口瘘。<br>**建议值**: `无`, `轻度(无需处理)`, `中度(需引流/禁食)`, `重度(需再次手术)`<br>**发生率**: 远端胃切除1-3%,全胃切除5-10%<br>**临床意义**: 吻合口瘘是术后死亡主要原因,死亡率10-30%",无
complications.delayedGastricEmptying,并发症.胃排空障碍,String,"术后胃排空障碍。<br>**定义**: 术后>7天仍需胃肠减压或无法进食<br>**建议值**: `无`, `轻度(1-2周恢复)`, `重度(>2周)`<br>**临床意义**: 发生率5-15%,多为功能性,保守治疗可恢复",无
backgroundGastricMucosa.gastritis,背景胃黏膜.胃炎,String,"背景胃黏膜慢性炎症。<br>**建议值**: `无/轻度慢性炎症`, `中度慢性炎症`, `重度慢性炎症`, `萎缩性胃炎`, `活动性胃炎`<br>**临床意义**: 重度慢性胃炎/萎缩性胃炎是胃癌癌前病变",中度慢性萎缩性胃炎
backgroundGastricMucosa.intestinalMetaplasia,背景胃黏膜.肠化生,String,"肠上皮化生。<br>**分型**: 完全型(小肠型)、不完全型(结肠型,癌变风险高)<br>**建议值**: `无`, `局灶性肠化生`, `广泛肠化生`, `不完全型肠化生`<br>**临床意义**: 广泛肠化生+不完全型是胃癌高危因素",广泛肠化生
backgroundGastricMucosa.dysplasia,背景胃黏膜.异型增生,String,"上皮内瘤变/异型增生。<br>**WHO 2019分级**: 低级别上皮内瘤变(LGIN)、高级别上皮内瘤变(HGIN)<br>**建议值**: `无`, `低级别异型增生`, `高级别异型增生(原位癌)`<br>**临床意义**: HGIN即原位癌(Tis),需内镜切除",低级别异型增生
backgroundGastricMucosa.hpylori,背景胃黏膜.幽门螺杆菌,String,"幽门螺杆菌(H. pylori)感染。<br>**检测方法**: 组织学(HE/Giemsa染色)、快速尿素酶试验、呼气试验<br>**建议值**: `阴性`, `阳性`, `既往感染(萎缩/肠化生)`<br>**临床意义**: H. pylori是WHO I类致癌物,根除可降低胃癌风险30-40%,但已有肠化生/异型增生者获益有限",既往感染(萎缩背景)
treatment.neoadjuvant,治疗.新辅助治疗,String,"新辅助治疗(术前治疗)。<br>**建议值**:<br>- `未行新辅助治疗`<br>- `新辅助化疗-SOX方案(RESOLVE研究)`: 中国推荐,3周期SOX<br>- `新辅助化疗-FLOT方案`: 欧洲标准,4周期FLOT<br>- `新辅助化疗-XELOX方案`: 卡培他滨+奥沙利铂<br>- `新辅助化疗-DOS方案`: 多西他赛+奥沙利铂+S-1<br>- `新辅助放化疗`: 贲门癌/GEJ癌<br>**临床意义**: cT2-4或cN+患者,新辅助化疗可降期、提高R0切除率、改善3年DFS(RESOLVE: 56.6% vs 48.9%)",未行新辅助治疗
treatment.neoadjuvantResponse,治疗.新辅助疗效,String,"新辅助治疗病理学反应(肿瘤退缩分级TRG)。<br>**日本分级(0-3级)**:<br>- **Grade 0(无效)**: 肿瘤无退缩或少量退缩<br>- **Grade 1a**: 退缩>2/3<br>- **Grade 1b**: 退缩1/3-2/3<br>- **Grade 2**: 退缩<1/3但有组织学改变<br>- **Grade 3(完全缓解pCR)**: 无残留肿瘤<br>**建议值**: `未行新辅助治疗`, `Grade 0`, `Grade 1a`, `Grade 1b`, `Grade 2`, `Grade 3(pCR)`<br>**临床意义**: pCR患者5年生存率>70%,Grade 0患者预后差,应调整辅助治疗",未行新辅助治疗
treatment.adjuvant,治疗.辅助治疗,String,"术后辅助治疗计划。<br>**建议值**:<br>- `观察随访(pT1N0)`: 早期癌无需辅助治疗<br>- `辅助化疗-XELOX`: 卡培他滨+奥沙利铂,8周期(CLASSIC研究)<br>- `辅助化疗-SOX`: S-1+奥沙利铂,中国首选<br>- `辅助化疗-S-1单药`: 日本标准(ACTS-GC研究),1年<br>- `辅助化疗-卡培他滨单药`: 5-FU替代<br>- `辅助放化疗`: R1切除或淋巴结广泛转移<br>- `术后FLOT`: 完成围手术期FLOT方案<br>**推荐人群**: pII/III期,PS 0-1<br>**临床意义**: CLASSIC研究显示XELOX辅助化疗使3年DFS从59%提高到74%",计划辅助化疗XELOX 8周期
treatment.targetedTherapy,治疗.靶向治疗,String,"靶向治疗。<br>**建议值**:<br>- `未使用靶向治疗`<br>- `曲妥珠单抗(Trastuzumab)`: HER2阳性晚期胃癌一线,联合化疗(ToGA研究)<br>- `T-DXd(Enhertu)`: HER2阳性二线,DESTINY-Gastric01研究<br>- `帕妥珠单抗(Pertuzumab)`: HER2阳性,与曲妥珠单抗联用<br>- `雷莫芦单抗(Ramucirumab)`: 抗VEGFR2,二线治疗<br>- `阿帕替尼`: 抗VEGFR2,中国研发<br>- `瑞戈非尼(Regorafenib)`: 多靶点TKI,三线治疗<br>**临床意义**: HER2阳性患者曲妥珠单抗+化疗,中位OS从11.1月延长至13.8月",未使用
treatment.immunotherapy,治疗.免疫治疗,String,"免疫检查点抑制剂。<br>**建议值**:<br>- `未使用免疫治疗`<br>- `帕博利珠单抗(Pembrolizumab)`: PD-L1 CPS≥1,KEYNOTE-059/062研究<br>- `纳武利尤单抗(Nivolumab)`: PD-L1 CPS≥5,ATTRACTION-4研究(亚洲)<br>- `信迪利单抗`: PD-1抑制剂,中国<br>- `替雷利珠单抗`: PD-1抑制剂,中国<br>- `联合化疗`: PD-1抑制剂+化疗一线治疗(CheckMate-649)<br>**适应症**: dMMR/MSI-H(首选)、PD-L1高表达、EBV阳性<br>**临床意义**: MSI-H患者免疫治疗ORR 50-60%,远超化疗",未使用
prognosis.stage5yrSurvival,预后.分期5年生存率,String,"基于AJCC分期的5年总生存率(OS)参考。<br>**IA期**: 90-95%<br>**IB期**: 80-85%<br>**IIA期**: 70-75%<br>**IIB期**: 60-65%<br>**IIIA期**: 45-50%<br>**IIIB期**: 30-35%<br>**IIIC期**: 15-20%<br>**IV期**: 5-10%<br>**临床意义**: 分期是最重要的预后因素,III期以上需积极辅助治疗",IIA期约70-75%
prognosis.recurrenceRisk,预后.复发风险,String,"术后复发风险评估。<br>**高危因素**: pT4、pN3、R1/R2、印戒细胞癌、Borrmann IV、LVI+、切缘接近、CY1<br>**建议值**: `低风险(<20%)`, `中风险(20-50%)`, `高风险(>50%)`<br>**临床意义**: 高危患者需强化辅助治疗和密切随访",中风险
prognosis.recurrencePattern,预后.复发模式,String,"复发模式预测。<br>**腹膜复发(最常见,40-50%)**: 弥漫型/印戒细胞癌/T4a/浆膜侵犯<br>**局部复发(20%)**: R1切除、淋巴结广泛转移<br>**血行转移(20-30%)**: 肝/肺转移,肠型腺癌多见<br>**淋巴结复发(10%)**: 远处淋巴结<br>**建议值**: `低复发风险`, `腹膜复发倾向`, `血行转移倾向`, `局部复发倾向`, `混合复发模式`<br>**临床意义**: 弥漫型/印戒细胞癌术后2年内易腹膜复发,需密切监测CA125/CA724/腹部CT",腹膜复发倾向(弥漫型)
prognosis.prognosticScore,预后.预后评分,String,"预后评分系统。<br>**常用评分**:<br>- **Korean Gastric Cancer Association(KGCA)评分**: 整合年龄、性别、Lauren分型、分期<br>- **Memorial Sloan Kettering(MSK)列线图**: 预测5年生存率<br>- **Adjuvant! Online**: 辅助治疗获益预测<br>**建议值**: 使用的评分系统名称+分数+预测生存率",未使用列线图
followUp.cea.postop,随访.CEA.术后基线,Number,"术后1个月CEA基线值(ng/mL)。<br>**临床意义**: 术后CEA未降至正常提示残留病灶或早期复发",3.2
followUp.ca199.postop,随访.CA19-9.术后基线,Number,"术后1个月CA19-9基线值(U/mL)。<br>**临床意义**: 术后标志物持续升高提示复发",18
followUp.ca724.postop,随访.CA72-4.术后基线,Number,"术后1个月CA72-4基线值(U/mL)。<br>**临床意义**: CA724是监测复发的最敏感指标,升高先于影像学3-6个月",4.5
followUp.surveillance,随访.随访计划,String,"术后随访计划。<br>**NCCN推荐**:<br>- **前2年**: 每3-6个月体格检查+血常规+肝肾功能+肿瘤标志物,每6-12个月胸腹盆CT<br>- **3-5年**: 每6-12个月随访<br>- **5年后**: 每年随访<br>**内镜复查**: 残胃每年胃镜<br>**建议值**: 具体随访方案描述<br>**临床意义**: 80%复发发生于术后2年内,早期发现可转化治疗",前2年每3月随访+每6月CT
remarks,备注,String,其他临床病理信息,弥漫型印戒细胞癌,建议密切随访腹膜转移;术后辅助XELOX化疗8周期;术后6个月复查胃镜评估残胃
