Category,Subcategory,Field_Name,Field_Name_CN,Data_Type,Unit,Value_Range,Normal_Range,Abnormal_Indicators,Clinical_Significance,Interpretation_Logic,Related_Diseases,Risk_Level,Recommended_Actions,LOINC_Code,Notes
Complications,Metabolic,dyslipidemia,血脂异常,Boolean,,Yes/No,No,Yes,"Dyslipidemia","Low HDL, high LDL",,Medium,May improve with GH,,"Multiple hormone effects"
Complications,Bone,low_bone_density,骨密度降低,Boolean,,Yes/No,No,Yes,"Osteoporosis/osteopenia","From GH, gonadal, thyroid deficiencies",Osteoporosis,High,DEXA scan,,"Fracture risk"
Complications,Cardiovascular,increased_cv_risk,心血管风险增加,Boolean,,Yes/No,No,Yes,"Increased cardiovascular risk","GH deficiency, lipid abnormalities",,High,Aggressive risk factor control,,"Mortality increased if untreated"
Complications,QOL,impaired_qol,生活质量受损,Boolean,,Yes/No,No,Yes,"Impaired quality of life","Fatigue, cognitive issues, sexual dysfunction",,Medium,Comprehensive replacement improves,,"Significant impact"

Prognosis,Outcomes,biochemical_control,生化控制,Boolean,,Yes/No,No,,"Adequate hormone replacement achieved","All deficiencies corrected",,High,Treatment goal,,"Achievable in most"
Prognosis,Outcomes,life_expectancy,预期寿命,Categorical,,"Normal/Reduced",,Reduced,"Life expectancy with treatment","Reduced if inadequate replacement or untreated",Increased_Mortality,High,Adequate replacement essential,,"Mortality increased if undertreated"
Prognosis,Outcomes,qol_improved,生活质量改善,Boolean,,Yes/No,No,,"QOL improved with treatment","Fatigue, cognition, sexual function better",,Medium,Major benefit,,"Usually improves"

Report_Summary,Diagnosis,confirmed_hypopituitarism,确诊垂体功能减退,Boolean,,Yes/No,No,Yes,"Hypopituitarism confirmed","≥1 anterior pituitary hormone deficiency",Hypopituitarism,Critical,Requires lifelong replacement,,"Dynamic testing required"
Report_Summary,Diagnosis,hypopituitarism_etiology,垂体功能减退病因,String,,,,,Etiology of hypopituitarism,"Tumor, surgery, radiation, inflammation, etc.",,High,Determines prognosis,,"Multiple etiologies"
Report_Summary,Diagnosis,deficient_axes_list,缺陷激素轴列表,String,,,,,List of deficient hormone axes,"GH, TSH, ACTH, gonadal, ADH",,High,Guide replacement,,"Document all"

Report_Summary,Treatment_Plan,replacement_regimen,替代治疗方案,String,,,,,Current hormone replacement regimen,"Hydrocortisone, levothyroxine, testosterone/estrogen, GH, DDAVP",,High,Individualized,,"Lifelong therapy"
Report_Summary,Treatment_Plan,treatment_goals,治疗目标,String,,,,,Treatment objectives,"Normalize hormone levels, prevent complications, improve QOL",,High,,,

Report_Summary,Provider,endocrinologist_name,内分泌科医师,String,,,,,Treating endocrinologist,,,Low,,,Complex condition requires specialist
Report_Summary,Provider,report_date,报告日期,Date,,,,,Date of report generation,,,Low,,,"Format: YYYY-MM-DD"
